,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,8.735808578436495e-07,2.8968324817942547e-07,4.0748406640897945e-07,5.916236008493312e-07,9.113060249644596e-09,7.385753857648787e-08,2.354220377749084e-07,1.5411486007855383e-07,7.03842121320921e-07,2.4017701155673933e-07,2.6115243837919064e-07,1.6755467317090118e-07,3.9905652059481656e-07,1.3653103633143406e-07,2.0558969962073954e-07,2.4470397385259724e-07
1,1.010266407125702e-06,3.8876708511942087e-07,4.520311772349345e-07,1.0140830288034703e-06,9.030664219683092e-08,1.5018180072088232e-07,2.849697835692778e-07,2.2497248235323824e-07,1.5802262759839762e-06,4.0435033370026255e-07,3.3347383006851766e-07,3.0509739193433363e-07,4.248089846518056e-07,1.820143006280317e-07,3.561962610324889e-07,4.3854066662483857e-07
2,1.1484799352561123e-06,4.861969893297763e-07,4.983407181803577e-07,1.4285563911956244e-06,1.6866266446714376e-07,2.246930459933356e-07,3.3485175426748725e-07,2.947474997978557e-07,2.4364088837915013e-06,5.612243765547858e-07,4.042289579887077e-07,4.3816974236041424e-07,4.519450158466797e-07,2.260379962906632e-07,4.986978135398795e-07,6.264497005175055e-07
3,1.2865244317444118e-06,5.802699781557532e-07,5.451626674501852e-07,1.8295968174279984e-06,2.4332447515762787e-07,2.9626099317879074e-07,3.842332108352022e-07,3.630206398123374e-07,3.2633553506439737e-06,7.097840144306036e-07,4.7299868453605163e-07,5.647154661193925e-07,4.800878761050474e-07,2.6837348651113807e-07,6.311557957016043e-07,8.064094350346263e-07
4,1.423061288004393e-06,6.695670511697421e-07,5.914921278702744e-07,2.2125438024770742e-06,3.134547541108291e-07,3.6394671376920747e-07,4.323540459473084e-07,4.29422579498302e-07,4.052318753544716e-06,8.49045906394418e-07,5.393353601058152e-07,6.830079753192572e-07,5.089657981883687e-07,3.0894961635785025e-07,7.517736060750706e-07,9.766205955379775e-07
5,1.557209587272957e-06,7.529907858263897e-07,6.366157395093766e-07,2.573731749866102e-06,3.7823345349059995e-07,4.2710094243941526e-07,4.785714262761852e-07,4.936852592201988e-07,4.794855207442274e-06,9.780584655336532e-07,6.027480826059936e-07,7.917704499224525e-07,5.383881120266637e-07,3.477700697102474e-07,8.589754562505841e-07,1.1355756889039822e-06
6,1.6884896985433283e-06,8.297519723399364e-07,6.800923485635626e-07,2.910488938820963e-06,4.368880998701427e-07,4.853611315101364e-07,5.224505664555859e-07,5.556431862320675e-07,5.4835439273067774e-06,1.095913125064914e-06,6.62714809287852e-07,8.903127269548858e-07,5.68163682075469e-07,3.848614859458087e-07,9.516849657436882e-07,1.2821709265847322e-06
7,1.816635060051184e-06,8.993637302150567e-07,7.218148528654621e-07,3.2209554674794495e-06,4.887896699205776e-07,5.385783526842279e-07,5.638212884106036e-07,6.152142564908971e-07,6.113129628239796e-06,1.2017984665094675e-06,7.187063735719388e-07,9.784390112531506e-07,5.980518264235439e-07,4.2023619266168606e-07,1.0295841666769917e-06,1.4156544261959921e-06
8,1.9413755831845246e-06,9.61649408203968e-07,7.621389630446201e-07,3.503800754090857e-06,5.335789182885381e-07,5.867725458680221e-07,6.027041467784969e-07,6.724427543413036e-07,6.681372747120783e-06,1.2951652872094809e-06,7.701826606668119e-07,1.0562080549955792e-06,6.277874247031216e-07,4.538579985751674e-07,1.0930397321861798e-06,1.5353638287109603e-06
9,2.062299935087841e-06,1.0167176456117735e-06,8.018505850614931e-07,3.7579974061700355e-06,5.712254303211263e-07,6.3013336476858e-07,6.391588668851876e-07,7.275780774011971e-07,7.189179418725179e-06,1.3759678084138274e-06,8.165762275568364e-07,1.1238406897964613e-06,6.571451600801123e-07,4.856559278653408e-07,1.1428312800691535e-06,1.640557053956013e-06
10,2.1788426647210033e-06,1.0648612042830554e-06,8.419233854484146e-07,3.982793591731824e-06,6.01986663412756e-07,6.690052629592819e-07,6.731804277815833e-07,7.81096350655832e-07,7.640007613511624e-06,1.4447940619963615e-06,8.573392797067709e-07,1.181751925723898e-06,6.859665160641874e-07,5.15587200126411e-07,1.180033319278038e-06,1.7305309534277001e-06
11,2.2903507362660773e-06,1.1064139404767231e-06,8.832745417402286e-07,4.1778696508521855e-06,6.263280765344703e-07,7.038174852412287e-07,7.046802577624875e-07,8.336454301574676e-07,8.038870903843306e-06,1.50274296777922e-06,8.920739600648349e-07,1.2305143398891878e-06,7.141639866726695e-07,5.43681130598236e-07,1.2060189991374361e-06,1.8048953176733223e-06
