,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,2.7185461946887743e-07,9.386741812444782e-08,1.3066439757697623e-07,2.7389642475643886e-06,7.256628936501816e-07,1.344109313906745e-07,2.47059531225731e-07,5.696548096800358e-08,8.822271946158415e-06,1.6787779016750833e-07,2.891112885056437e-07,4.0070759516315705e-06,1.1165383252426077e-07,1.8693840029099785e-07,2.5045863089256736e-07,3.568066193376569e-07
1,3.209416979964969e-07,1.3478781056666952e-07,2.703592917776858e-07,3.5541154717071187e-06,1.0755079522711547e-06,2.417958719662809e-07,3.0458658783351606e-07,1.4292834883144435e-07,1.0551392107149288e-05,2.563408429772789e-07,5.102077987421639e-07,1.5314859850852323e-05,2.0414248193198516e-07,2.6089320736712286e-07,2.9424736961049637e-07,4.826312469027802e-07
2,3.698057033643583e-07,1.771057652769237e-07,4.0392157178517976e-07,4.339701373798897e-06,1.4222171927580234e-06,3.4895442250589854e-07,3.61356063717697e-07,2.2672823328161494e-07,1.234323681214667e-05,3.4397034983628365e-07,7.285313091957727e-07,2.6357554950516928e-05,2.9242010848040034e-07,3.355307148381771e-07,3.378547690546716e-07,6.053107503909497e-07
3,4.171221455042558e-07,2.2043678747045912e-07,5.302500769693814e-07,5.08453947275073e-06,1.7623248543400621e-06,4.550675270699928e-07,4.1637762752437003e-07,3.0698120419375867e-07,1.419265411962872e-05,4.2929939566758414e-07,9.4137095441119e-07,3.6906189079582214e-05,3.757481441084933e-07,4.100721703089472e-07,3.80583799002202e-07,7.238238032812501e-07
4,4.6200327444392123e-07,2.644937040551717e-07,6.482627814239119e-07,5.777995124919666e-06,2.0924486184635583e-06,5.593395106965984e-07,4.689030092498961e-07,3.8247004587053495e-07,1.6091798904114815e-05,5.110398887592675e-07,1.146240412269293e-06,4.674223968785613e-05,4.536820998632909e-07,4.838322123269066e-07,4.2197827115966486e-07,8.37214819649541e-07
5,5.040862935179384e-07,3.0914903016078746e-07,7.569576743934886e-07,6.410704806378551e-06,2.409444538865274e-06,6.610006645249395e-07,5.184168036500479e-07,4.5220985557521976e-07,1.802974952087607e-05,5.882458452548589e-07,1.3410183340826213e-06,5.568220854790749e-05,5.26065260474001e-07,5.562845089961818e-07,4.618219167388859e-07,9.4469671493842e-07
6,5.434020519057106e-07,3.544403842822681e-07,8.555217408897094e-07,6.975427592408486e-06,2.710488453262993e-06,7.593407502917524e-07,5.645967595354263e-07,5.155160433248489e-07,1.9992299035373152e-05,6.604066096243246e-07,1.524004121576085e-06,6.36085338851576e-05,5.929073368708595e-07,6.270751492162746e-07,5.000250815818196e-07,1.045761327995653e-06
7,5.801494369286576e-07,4.00482525014734e-07,9.434122630558236e-07,7.467643627353863e-06,2.993087475144936e-06,8.537174423752226e-07,6.073147998347315e-07,5.720511256945997e-07,2.1962031983584442e-05,7.273482057390548e-07,1.693850453913532e-06,7.048396725469096e-05,6.542688075035888e-07,6.959698127690617e-07,5.36523896223883e-07,1.1402318236091872e-06
8,6.145438433906193e-07,4.473634746913657e-07,1.0203967434111893e-06,7.885726162153442e-06,3.255067576541243e-06,9.43511655384267e-07,6.466763335286331e-07,6.218333245357662e-07,2.39188731462919e-05,7.890378805968951e-07,1.8494366217439613e-06,7.633559349296459e-05,7.102036607242552e-07,7.627604442934872e-07,5.713051259356814e-07,1.2281850036170007e-06
9,6.4676079870587e-07,4.950973366259629e-07,1.086610445436061e-06,8.230754808582283e-06,3.494559848050069e-06,1.0280920923366997e-06,6.830287389945806e-07,6.652023230390631e-07,2.584088074242299e-05,8.454534826544045e-07,1.9897783863109023e-06,8.122190575249509e-05,7.607848311065096e-07,8.271919186173124e-07,6.045116461224721e-07,1.3098203852431737e-06
10,6.769108866485058e-07,5.43627016400788e-07,1.1426161421876178e-06,8.506000660851854e-06,3.709972111079792e-06,1.1068364594600358e-06,7.168861275070395e-07,7.02729462953596e-07,2.7704345186010856e-05,8.965550018687454e-07,2.1140114896187238e-06,8.520809061536049e-05,8.062268637869353e-07,8.889472295156746e-07,6.36467039467567e-07,1.3854332865920467e-06
11,7.050222364525007e-07,5.928383716317606e-07,1.189362194484782e-06,8.715973824594232e-06,3.899928350265695e-06,1.1791890036709074e-06,7.488011033333636e-07,7.350872304739957e-07,2.948274896241352e-05,9.423436956607813e-07,2.2214633834978488e-06,8.835657462581935e-05,8.469959714879055e-07,9.476529045003366e-07,6.675704196471331e-07,1.455446052475834e-06
12,7.310455073599363e-07,6.425717068227864e-07,1.2280008809105563e-06,8.865183839768965e-06,4.063232340945552e-06,1.2447156980939032e-06,7.792755037371041e-07,7.629553008824586e-07,3.114634904061335e-05,9.829617443124748e-07,2.311808085622504e-06,9.07240167998928e-05,8.837822713631306e-07,1.002865130192253e-06,6.981831822868376e-07,1.5203635842253537e-06
13,7.548917135729262e-07,6.926512754839401e-07,1.25966847035872e-06,8.957330414917495e-06,4.1989694225754015e-06,1.3031470863442505e-06,8.087401037658811e-07,7.870091903110251e-07,3.266426772949955e-05,1.0187219161305542e-06,2.385169788826699e-06,9.236106156118523e-05,9.173642550052594e-07,1.0540620977309918e-06,7.286034967959899e-07,1.5806981135564678e-06
14,7.76479656489311e-07,7.42928929185436e-07,1.2853706900687477e-06,8.99550015244965e-06,4.3067818902132585e-06,1.3544129384053678e-06,8.375364514047134e-07,8.079222142168354e-07,3.400786761227554e-05,1.0500359577837755e-06,2.4419801403529616e-06,9.331564091893409e-05,9.48490799061121e-07,1.100662596884727e-06,7.591080907674582e-07,1.636915396861051e-06
15,7.957570043670103e-07,7.932977641913923e-07,1.3059851091323016e-06,8.983002407950189e-06,4.387170839209619e-06,1.3986446608168884e-06,8.658660455930499e-07,8.263087178839057e-07,3.5152875731736976e-05,1.0773464354507495e-06,2.4826606806473518e-06,9.363725535508746e-05,9.778533535575458e-07,1.14208593357119e-06,7.899815254860277e-07,1.689336235559738e-06
16,8.126925090209362e-07,8.436714087919992e-07,1.3222653939639963e-06,8.924084940937054e-06,4.4415237644650024e-06,1.4361077102915503e-06,8.937445502035194e-07,8.426494068242317e-07,3.6079432893165634e-05,1.1011109907083656e-06,2.5075172486282964e-06,9.338042989581542e-05,1.0060960171595419e-06,1.1778703001421872e-06,8.214755057381205e-07,1.738013760700072e-06
17,8.272478379575341e-07,8.939689494512167e-07,1.3348303435990295e-06,8.82423284470632e-06,4.471827711568688e-06,1.467070109335033e-06,9.209849482321448e-07,8.572762584326113e-07,3.677067563114388e-05,1.1217655860053093e-06,2.5170362474924528e-06,9.260793225067758e-05,1.0337839065206292e-06,1.2077567306575117e-06,8.537323987541027e-07,1.782676130215668e-06
18,8.393444175396123e-07,9.441142936841048e-07,1.3442017960045068e-06,8.690129666760873e-06,4.480513955801773e-06,1.491684589577595e-06,9.472105611969656e-07,8.704170126604741e-07,3.721044070488176e-05,1.1396512018858423e-06,2.5122419345851623e-06,9.139183967602907e-05,1.0613682699648007e-06,1.2316348731373082e-06,8.867375471033165e-07,1.8227159448129724e-06
19,8.488713517029867e-07,9.940248303756953e-07,1.3508332895736812e-06,8.529379503456197e-06,4.470535157272608e-06,1.509982260602433e-06,9.719168479369023e-07,8.822283303656756e-07,3.7381648312604515e-05,1.1549885041001995e-06,2.4946822709650296e-06,8.980857089601031e-05,1.0892189451746757e-06,1.249427727819409e-06,9.203138087065921e-07,1.8572110446250601e-06
20,8.557225908798341e-07,1.0435749069693836e-06,1.3550571042600442e-06,8.350099765985732e-06,4.445240647425457e-06,1.5219748064433943e-06,9.945953753508754e-07,8.927799053020487e-07,3.726970685799604e-05,1.1679136766465537e-06,2.4661013590390795e-06,8.792885272313456e-05,1.1176762761260724e-06,1.2610594148441584e-06,9.541530129111098e-07,1.8850760902939431e-06
21,8.597969217131369e-07,1.0925426121390183e-06,1.357011543605998e-06,8.16053720576521e-06,4.4080958816005065e-06,1.5277598662261124e-06,1.0148905038138896e-06,9.020565606248654e-07,3.687189489857263e-05,1.1784971306162332e-06,2.428215724186853e-06,8.580934037433282e-05,1.1470401558432023e-06,1.2665282299089941e-06,9.878546563893444e-07,1.9053798651063527e-06
22,8.610106132099478e-07,1.140573297379582e-06,1.3566279076602046e-06,7.968784978884915e-06,4.362563425042429e-06,1.5275715257303228e-06,1.0327235134583542e-06,9.100591320734759e-07,3.620430818113674e-05,1.1867426495003074e-06,2.3827277543000463e-06,8.349040016261787e-05,1.1775180802336344e-06,1.2660170659509078e-06,1.0209264526466072e-06,1.9176853310526233e-06
23,8.593987628925768e-07,1.1871890662426148e-06,1.3537110232433036e-06,7.782570993269288e-06,4.3120293051028724e-06,1.5217884518178593e-06,1.0483161143207894e-06,9.169549777822578e-07,3.5298586051414754e-05,1.1926042766566984e-06,2.3313090249963874e-06,8.099861643372668e-05,1.2092248968125529e-06,1.2599819017829025e-06,1.0527701137086932e-06,1.922228363666905e-06
24,8.552083059678801e-07,1.2318217506539407e-06,1.3481197874935766e-06,7.609067032099697e-06,4.259668163763037e-06,1.5108935864359287e-06,1.062102024154428e-06,9.231425973099142e-07,3.4192204836109263e-05,1.195976305251719e-06,2.2754247092038012e-06,7.835008870575857e-05,1.2422740104390167e-06,1.2491471040314686e-06,1.082684270941641e-06,1.9198561547407443e-06
25,8.488594183721287e-07,1.2738517662431397e-06,1.3399631996717707e-06,7.454662959753623e-06,4.208349061359592e-06,1.495376799570007e-06,1.074606457474267e-06,9.291752381182529e-07,3.292185233354341e-05,1.1966654708697154e-06,2.2161654815342606e-06,7.55533939873426e-05,1.2768825577831323e-06,1.234363222585267e-06,1.1098557870342383e-06,1.911763492581591e-06
26,8.408117058873438e-07,1.3126985914118175e-06,1.3296693603821611e-06,7.324667721312984e-06,4.160575442126497e-06,1.4756549947517622e-06,1.0863812466489224e-06,9.356239952180146e-07,3.1523070698914784e-05,1.1944590454183726e-06,2.154217094587297e-06,7.261662407370231e-05,1.3133664686614835e-06,1.216449083829842e-06,1.1333455096153013e-06,1.899160561914842e-06
27,8.314652999294191e-07,1.3479543058795167e-06,1.3178715446244713e-06,7.22303050791321e-06,4.118415784475221e-06,1.4521332986325607e-06,1.0979816707741268e-06,9.429917730177289e-07,3.0031610746009306e-05,1.1892938336222045e-06,2.0899351346564085e-06,6.955933166613014e-05,1.352014529944039e-06,1.196175832806583e-06,1.1521232213309286e-06,1.8830608932373163e-06
