,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,4.702067596821627e-08,3.6461613266342976e-07,-1.0062767450639938e-07,1.9459847380406233e-08,4.182678981006337e-08,1.7516844207211862e-07,4.1811165039971806e-07,3.0606361379003267e-07,8.82496567790333e-07,1.6205249379303988e-07,2.1630227409491837e-07,-1.306862444526114e-06,6.02377086402421e-07,-5.7563620212138136e-09,1.8247823279112504e-07,3.1254403210836053e-07
1,1.090548394543836e-07,4.1028705518656675e-07,3.373304437814887e-07,1.1167562385160218e-07,1.4749995264841815e-07,2.554636840126971e-07,5.164948771377795e-07,5.878399419368925e-07,2.5814824985210193e-06,2.1799758783744634e-07,3.65558851345615e-07,2.6661658367125734e-06,6.685264869179117e-07,7.730515459399617e-08,2.9854621097381266e-07,5.086721837322239e-07
2,1.7008197637718538e-07,4.566345302839068e-07,7.545309725309094e-07,2.030347643072855e-07,2.508856831502907e-07,3.318966453105542e-07,6.105049179535536e-07,8.559038097334255e-07,4.17807572068801e-06,2.7413194111823223e-07,5.1111295542309e-07,6.526037217245711e-06,7.341437320227832e-07,1.5990596564914692e-07,4.13103609935115e-07,6.92936766514505e-07
3,2.296321573796151e-07,5.032884433969594e-07,1.1463091831285429e-06,2.930109198013538e-07,3.500566864826825e-07,4.037886607652999e-07,6.986076406291981e-07,1.1078338580526603e-06,5.667149759781674e-06,3.2934084161313776e-07,6.496050078616374e-07,1.0208155328461932e-05,7.986672454433941e-07,2.4131281405762897e-07,5.239753308295712e-07,8.636852925657069e-07
4,2.872862847733924e-07,5.498274612240705e-07,1.508679772323753e-06,3.81178106443263e-07,4.4335006008989335e-07,4.7058465020191365e-07,7.794597951408434e-07,1.3411087315933667e-06,7.0443534231501e-06,3.827101436927262e-07,7.780005152379769e-07,1.3654827475246647e-05,8.614896970672713e-07,3.209015810465589e-07,6.296469871394306e-07,1.0199098604302162e-06
5,3.4266594743478773e-07,5.958284434801917e-07,1.8383074491888007e-06,4.6720335837555615e-07,5.294417406930228e-07,5.319423815837856e-07,8.520405848140999e-07,1.553078032460829e-06,8.305130280667008e-06,4.3362358159883033e-07,8.939416524950921e-07,1.6820178514035814e-05,9.219403958625774e-07,3.981779627509339e-07,7.292437485137231e-07,1.1610340497157294e-06
6,3.95422033381075e-07,6.409277075094785e-07,2.1324486292413483e-06,5.508074383882503e-07,6.073883995936684e-07,5.877563519727183e-07,9.156940216362816e-07,1.741103616008277e-06,9.444333328277525e-06,4.818131945398126e-07,9.96033856187946e-07,1.9674653281529297e-05,9.792371897773511e-07,4.7276419292083505e-07,8.223713528209764e-07,1.2867604543690548e-06
7,4.452549969677726e-07,6.84818659112055e-07,2.3890226571812623e-06,6.317054303797864e-07,6.766764616982504e-07,6.380717831813401e-07,9.700490612686352e-07,1.9029599998539508e-06,1.045619992413442e-05,5.27266694636797e-07,1.0838745580604402e-06,2.2208274743407415e-05,1.0324581159706585e-06,5.443532033301785e-07,9.089411481408864e-07,1.3969695529482962e-06
8,4.919372980554441e-07,7.271792033794944e-07,2.6067626228373847e-06,7.095570459428683e-07,7.372254849720961e-07,6.829573162733283e-07,1.0149045310325416e-06,2.037345778617381e-06,1.1335211384371523e-05,5.700541469603086e-07,1.1577712003763976e-06,2.4431945321245555e-05,1.0805721296913698e-06,6.127119114901246e-07,9.889975015766864e-07,1.4916077713984339e-06
9,5.353150960958033e-07,7.676020379202756e-07,2.785370939331601e-06,7.839558200704785e-07,7.892766272674757e-07,7.224651513664087e-07,1.0501827000397219e-06,2.144202750318683e-06,1.2078845972931503e-05,6.102093409755048e-07,1.2183184555543792e-06,2.6375659847907312e-05,1.1224832733653868e-06,6.777459899563738e-07,1.0625610267368533e-06,1.5707563016804112e-06
