,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,3.2981653953774873e-07,2.1996124155111372e-07,1.8716139778889772e-07,3.2754129201761395e-07,7.188405188312643e-08,1.0323161369182655e-07,4.751167169430327e-07,3.6841043160571955e-06,2.5589501711014185e-07,1.8670662835172731e-07,2.7417258814757796e-07,2.6723806768876546e-07,9.805457319412763e-07,1.3721554802700056e-07,1.4011651107371054e-07,1.8433605273152052e-06
1,3.5432828907387155e-07,2.5658736093439746e-07,2.4012306475082944e-07,4.1636717806864106e-07,1.5570446094617773e-07,1.6375801207915633e-07,5.474709659330012e-07,4.7663374987801155e-06,3.504134770165799e-07,2.2272698883819052e-07,3.6446156849918954e-07,3.60760115392887e-07,1.0495128761294023e-06,2.043164028335045e-07,2.0908356809196588e-07,2.3798819409344573e-06
2,3.7997288684320115e-07,2.9380208128603723e-07,2.9244051647924125e-07,5.053648379272156e-07,2.3606086601183043e-07,2.2489277224494805e-07,6.215065700108984e-07,5.94428796107563e-06,4.4984557256633645e-07,2.606010752460602e-07,4.5504375993920216e-07,4.58667256891391e-07,1.1259398520905163e-06,2.710800236423229e-07,2.767107443936709e-07,2.9096434520966652e-06
3,4.0648119792378665e-07,3.30585635860071e-07,3.433521119049385e-07,5.925826736865257e-07,3.120315387849422e-07,2.8555755455871055e-07,6.954820752099935e-07,7.219272926215179e-06,5.536179708744288e-07,2.999907012639282e-07,5.444414727927644e-07,5.605872809362886e-07,1.2095275945791829e-06,3.358062256311026e-07,3.423405858305741e-07,3.4280258767898594e-06
4,4.336112252657761e-07,3.662126800054742e-07,3.921352562227989e-07,6.763157068147787e-07,3.828202733460115e-07,3.449664908818721e-07,7.681308318299432e-07,8.59216473594119e-06,6.612810804255822e-07,3.4054815843287577e-07,6.314046719706321e-07,6.661847212932586e-07,1.2998360665184841e-06,3.969811817786156e-07,4.054497031648493e-07,3.930117615779437e-06
5,4.6111990520276663e-07,4.0026610328191636e-07,4.381797616016366e-07,7.552077857064686e-07,4.477335995827216e-07,4.027222773300438e-07,8.386874585468079e-07,1.0063354231748665e-05,7.726404041817955e-07,3.8190610844274664e-07,7.150738894780553e-07,7.75221943403644e-07,1.396253545788719e-06,4.533605399091472e-07,4.656179093475113e-07,4.410738637040187e-06
6,4.887216101247361e-07,4.325254389602031e-07,4.810814181476717e-07,8.283195341247112e-07,5.061321019458624e-07,4.5874220142896806e-07,9.067479904596593e-07,1.1632543341882642e-05,8.879545770259464e-07,4.2370332647479787e-07,7.950055118824128e-07,8.875467121678305e-07,1.4980326985320133e-06,5.041183131866617e-07,5.225024174654038e-07,4.864502930466386e-06
7,5.160787608044659e-07,4.628772839193358e-07,5.206839427764013e-07,8.951472554530479e-07,5.574540265033662e-07,5.130819611333945e-07,9.720791614003741e-07,1.3298228938115548e-05,1.007994900823094e-06,4.656433022448912e-07,8.711051440560806e-07,1.0029825671697862e-06,1.6043663001476018e-06,5.489421703197369e-07,5.758020778227716e-07,5.285962114254678e-06
8,5.428069819613135e-07,4.913330833162907e-07,5.570360422091696e-07,9.555580896581553e-07,6.013309459576266e-07,5.658055409667971e-07,1.0345110749489725e-06,1.505698249176205e-05,1.133945668688785e-06,5.075073291368423e-07,9.435866227593914e-07,1.1212254568581108e-06,1.7144327731309227e-06,5.879866592342513e-07,6.252275819370063e-07,5.669905891351265e-06
9,5.684668348968567e-07,5.180437532411774e-07,5.902930487139835e-07,1.0096378485667516e-06,6.37706230161451e-07,6.16952388313542e-07,1.0939009912997668e-06,1.6902923877761944e-05,1.2673468840192342e-06,5.491035403656181e-07,1.0129379546512878e-06,1.2418015185812775e-06,1.8273553161453373e-06,6.216975633789405e-07,6.705406170033931e-07,6.011667721844814e-06
10,5.925660556797891e-07,5.432242770081884e-07,6.206345316852706e-07,1.057505801278118e-06,6.668441396123256e-07,6.665320896709008e-07,1.1500629830709188e-06,1.8827467424041623e-05,1.4100416402731452e-06,5.902097418308607e-07,1.0798136051468174e-06,1.3640915031164687e-06,1.9420718921104693e-06,6.506005833456129e-07,7.116209787546286e-07,6.3072098903439915e-06
11,6.14619172408405e-07,5.670736908424063e-07,6.482340264186717e-07,1.0991785876244688e-06,6.892037659627085e-07,7.144842881176041e-07,1.2027033052641002e-06,2.0818907323964516e-05,1.5640358421948648e-06,6.305256295880331e-07,1.1448762420884699e-06,1.4874381656324772e-06,2.0572077470985593e-06,6.751821890344304e-07,7.484749870744348e-07,6.553045349457634e-06
12,6.342637933767964e-07,5.897662191208118e-07,6.73238635071256e-07,1.1345384594829843e-06,7.052861822962938e-07,7.606234460521033e-07,1.2514667603235483e-06,2.28617514043963e-05,1.731384909751447e-06,6.696321082191041e-07,1.2086975879165242e-06,1.611282378279018e-06,2.1711103897571693e-06,6.958946695089895e-07,7.812008518557447e-07,6.74629221670711e-06
13,6.513537653518263e-07,6.114626901961837e-07,6.957421152189662e-07,1.1633756099459845e-06,7.155777983869894e-07,8.046147603736612e-07,1.2960327106445413e-06,2.4936263150002084e-05,1.914113167955407e-06,7.069687433210968e-07,1.271748816541699e-06,1.735208020997078e-06,2.2821093509477278e-06,7.132041024543455e-07,8.099472471416121e-07,6.8850178911858e-06
14,6.659496745387271e-07,6.322949387062061e-07,7.157896772746139e-07,1.1854140166807559e-06,7.205691771108123e-07,8.460208006414632e-07,1.336154846543494e-06,2.7018367462430284e-05,2.114067752281193e-06,7.418356857429596e-07,1.3343849056004376e-06,1.8588687542579783e-06,2.388856371901252e-06,7.276025711650688e-07,8.348618274377848e-07,6.968720160324524e-06
15,6.782127751798132e-07,6.523593960066487e-07,7.334266574490834e-07,1.2003089250283346e-06,7.207481833537613e-07,8.844471592707869e-07,1.3716979219052103e-06,2.9079582382062796e-05,2.3327720599830494e-06,7.73463737964184e-07,1.396768206773852e-06,1.9819052985574108e-06,2.4905490142313813e-06,7.395648248444722e-07,8.560752393478961e-07,6.99869050199922e-06
16,6.882776746388125e-07,6.717491882476229e-07,7.487655170394344e-07,1.2077056644068559e-06,7.165731239782353e-07,9.197269694773628e-07,1.4027451813154866e-06,3.108671637899061e-05,2.5714133843053045e-06,8.011882081013194e-07,1.4587999506237683e-06,2.103934031731532e-06,2.586980144753966e-06,7.494826535917656e-07,8.737582454984884e-07,6.978134952613175e-06
17,6.961883680737266e-07,6.905889501188938e-07,7.620105115574304e-07,1.2073866179117674e-06,7.085026956720633e-07,9.519833967617578e-07,1.429684489555023e-06,3.300129159119188e-05,2.8309889054535183e-06,8.246376633878874e-07,1.520150752252787e-06,2.224565234259382e-06,2.6784808666762276e-06,7.576441621189607e-07,8.881820117886871e-07,6.912003100073464e-06
18,7.019325875307151e-07,7.090380554359136e-07,7.734014433268666e-07,1.199420706359967e-06,6.970606801578854e-07,9.815047367210172e-07,1.4531527135824967e-06,3.4779242547639105e-05,3.1124351365797704e-06,8.437730550013491e-07,1.580410600012011e-06,2.3433686650232727e-06,2.765814977042445e-06,7.642961652660531e-07,8.997075956121118e-07,6.806418183152745e-06
19,7.055302545504253e-07,7.272851650282065e-07,7.831418839480825e-07,1.1842290750011845e-06,6.828420442356134e-07,1.008591112470223e-06,1.4738915842702138e-06,3.637275663623073e-05,3.4165279593470435e-06,8.587517714651174e-07,1.6392761057975471e-06,2.459766546748763e-06,2.8500059765295962e-06,7.697237829640181e-07,9.087075343858054e-07,6.667742728977698e-06
20,7.070828200304867e-07,7.455597312405374e-07,7.91377296210803e-07,1.1625496554866839e-06,6.664423758661814e-07,1.0335033948234377e-06,1.4926555833355727e-06,3.773590180253628e-05,3.7436531510915908e-06,8.697877309730768e-07,1.6966452776069188e-06,2.572938510557286e-06,2.932080786004049e-06,7.742525094492381e-07,9.154702821145332e-07,6.501718094926952e-06
21,7.067267372631093e-07,7.641321524964211e-07,7.982116400825035e-07,1.1353531099732294e-06,6.483906557473656e-07,1.0564353456945756e-06,1.5101821022236042e-06,3.8832513644674296e-05,4.093661269932992e-06,8.771306338864139e-07,1.7525748801441209e-06,2.6818301692833553e-06,3.012791191072136e-06,7.782131184426124e-07,9.201516286531243e-07,6.313158736444755e-06
22,7.045429896382927e-07,7.832751109080372e-07,8.037614554313085e-07,1.1037577895540049e-06,6.291470529226613e-07,1.0774758792196893e-06,1.52713514898387e-06,3.964195621918866e-05,4.465812628691947e-06,8.811025126671681e-07,1.8071819519425356e-06,2.785236939109637e-06,3.0923979035386553e-06,7.819631667862801e-07,9.227770603433413e-07,6.106167096910362e-06
23,7.005176472252817e-07,8.032122606603029e-07,8.082215427173175e-07,1.068933686708495e-06,6.091287654588934e-07,1.0966686705088297e-06,1.5440525831147584e-06,4.015906403465641e-05,4.858810497937095e-06,8.821012355205241e-07,1.8605826333019505e-06,2.8818777170572156e-06,3.1705625643678663e-06,7.859200922030728e-07,9.232574611629151e-07,5.884498204183118e-06
24,6.945606466538591e-07,8.240814147126637e-07,8.11861222828675e-07,1.0320187671510664e-06,5.887054092518114e-07,1.1141679456912913e-06,1.5614004175133125e-06,4.0388147526430816e-05,5.270885793641776e-06,8.805520737447823e-07,1.9128586770552823e-06,2.9703953625712796e-06,3.2463460568109074e-06,7.905148400373631e-07,9.214311954802837e-07,5.651841699788436e-06
25,6.865397718293948e-07,8.45909689466984e-07,8.149620106429766e-07,9.940959241401755e-07,5.68173486475653e-07,1.1303326334841843e-06,1.5797027433023573e-06,4.03352095833923e-05,5.699733498686249e-06,8.76835392951989e-07,1.9639900062619895e-06,3.0492577580256363e-06,3.318279107320165e-06,7.961073497422609e-07,9.171547058354024e-07,5.411967607921489e-06
26,6.763354649649128e-07,8.685973976018303e-07,8.177898325738183e-07,9.561847162662537e-07,5.477442134936387e-07,1.145657474740706e-06,1.5996428841792777e-06,4.000429366972937e-05,6.1422597492775516e-06,8.712395909857774e-07,2.0137884602272197e-06,3.11666587514628e-06,3.3844249551268052e-06,8.029553653417352e-07,9.104109441748802e-07,5.1687158485903625e-06
27,6.639072913907167e-07,8.919014561640627e-07,8.205976489224586e-07,9.191954522573732e-07,5.275535237932582e-07,1.160606482430853e-06,1.6220982007439396e-06,3.939982633219406e-05,6.594384418304542e-06,8.639528573453587e-07,2.0619449132033102e-06,3.170639325426038e-06,3.4423890655343743e-06,8.112243003688499e-07,9.013715260841918e-07,4.925841378917753e-06
