,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,1.611704797896617e-07,3.972602820501774e-08,9.634537513203003e-08,6.070664420816362e-06,-5.059063013636156e-07,-8.72787019345655e-08,4.746258687790853e-07,1.5306415442733673e-05,2.481351784634959e-07,1.829238882269141e-08,2.0185684623182096e-08,1.115654649855781e-05,1.708523376249856e-06,1.3338659901108838e-07,2.201584861212239e-08,-2.2866259458976717e-07
1,2.0290119992378592e-07,1.3409876134843052e-07,1.4545873431812138e-07,6.7777198627085835e-06,9.635388470430004e-07,1.013208057217489e-07,5.813993783158384e-07,1.866027050887482e-05,3.050548999547072e-07,1.460144282077971e-07,1.9234501699212977e-07,1.4927913380075707e-05,2.185607775703136e-06,4.0673638172228104e-07,1.0951453627460224e-07,2.852894279650728e-08
2,2.4549624365226243e-07,2.255473078132582e-07,1.9226058706473337e-07,7.545803845471805e-06,2.3938100044405767e-06,2.8099788408533416e-07,6.88858116704971e-07,2.2142062536049075e-05,3.6725467223310216e-07,2.6868322841338146e-07,3.5521663529155043e-07,1.851951983775343e-05,2.6733727525089655e-06,6.689382784525615e-07,1.9498624251010714e-07,2.772944757275994e-07
3,2.8829400052193376e-07,3.134274412570874e-07,2.3643360188245133e-07,8.374205290537185e-06,3.768247834433003e-06,4.4850361256607323e-07,7.941885134995561e-07,2.5744102983765565e-05,4.347963270866996e-07,3.8531676821482925e-07,5.072131448052883e-07,2.191834305504031e-05,3.1692932723407957e-06,9.158708062705528e-07,2.7735621931991634e-07,5.142599181404732e-07
4,3.3075643531013356e-07,3.9725279217166304e-07,2.777130587559452e-07,9.261162381584178e-06,5.071363087264194e-06,6.014718462588682e-07,8.950645680461053e-07,2.9458479511608048e-05,5.077066957958189e-07,4.951162986117004e-07,6.471390455827056e-07,2.510825794568059e-05,3.67091227393428e-06,1.1439598089991773e-06,3.5588993417431437e-07,7.367851655726053e-07
5,3.724663021508169e-07,4.766282575272001e-07,3.158995561556847e-07,1.020368816926151e-05,6.289446022848032e-06,7.38377361749492e-07,9.898214291509097e-07,3.327786057427638e-05,5.859938239034865e-07,5.975253961174787e-07,7.741022740427534e-07,2.8068446665040806e-05,4.175546311162611e-06,1.3504562318822915e-06,4.301010443239501e-07,9.430921189922892e-07
6,4.1306152305521293e-07,5.511566577169778e-07,3.508717538109839e-07,1.1197336553835053e-05,7.4112062476583e-06,8.583747792088366e-07,1.0774927618927759e-06,3.719413591186467e-05,6.696463008740451e-07,6.921790859976401e-07,8.874759800358984e-07,3.077299949179902e-05,4.680090044882796e-06,1.5334959153522117e-06,4.995995630542834e-07,1.1322503351341356e-06
7,4.521875741672941e-07,6.203844636301876e-07,3.8255588079104374e-07,1.2235936294203727e-05,8.428314662917953e-06,9.612108175866563e-07,1.1577550922521745e-06,4.119538123331156e-05,7.586264379654256e-07,7.787743250849146e-07,9.869490316799556e-07,3.3192207715156676e-05,5.1810323846141546e-06,1.6919711139940205e-06,5.64044658303085e-07,1.3039815987640221e-06
8,4.895021347868022e-07,6.8379306403442e-07,4.108850074844007e-07,1.3311363428403965e-05,9.335715187943623e-06,1.0472156657815483e-06,1.2308354211103053e-06,4.526366396046481e-05,8.528574960218809e-07,8.570264821338473e-07,1.0725142695393928e-06,3.5295767690302794e-05,5.674727623145405e-06,1.825436239252859e-06,6.232086117967605e-07,1.4583956110429924e-06
9,5.24679421321471e-07,7.408362020106672e-07,4.358267470323104e-07,1.4413354898429708e-05,1.0131629500712113e-05,1.1172912865075826e-06,1.2973529205704902e-06,4.937541829270466e-05,9.521803379996096e-07,9.267852261111686e-07,1.1444013347303338e-06,3.705763746049576e-05,6.157748560052269e-06,1.9341324537321576e-06,6.770197571573159e-07,1.5959212354767947e-06
