,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,-4.185769000115707e-07,2.981980476253993e-07,2.5718277471536256e-07,3.5267046331905934e-07,2.1812159547951836e-05,5.090247453888326e-07,2.326979037258554e-07,1.3008261221962774e-07,1.1071113257877307e-06,1.6549185086198041e-06,-4.10235985404272e-07,-2.72026400444433e-07,3.0460678861925184e-06,5.921380944711412e-06,1.0790175421320231e-07,2.811536955795609e-07
1,-1.6261192630179948e-07,3.5526902639294456e-07,6.302697782332258e-07,7.163829216756872e-07,2.828123031905515e-05,5.861384345349978e-07,4.1235040888842047e-07,3.6734050636993506e-07,1.7333974703036718e-06,1.987364810314219e-06,-8.860050665358483e-08,-2.073163561883914e-07,3.5688137334157888e-06,8.534551368847631e-06,3.7039556426846544e-07,5.925950967567847e-07
2,8.153983314972079e-08,4.129982548746915e-07,9.988508777557697e-07,1.067309926962917e-06,3.4499904766852364e-05,6.683349031996437e-07,5.893262333123456e-07,6.035061306477109e-07,2.3577822852900505e-06,2.3134130090806263e-06,2.1868728489794397e-07,-1.2749407318975194e-07,4.1118262587571716e-06,1.1052195381942401e-05,6.315554245263673e-07,9.091671146920266e-07
3,3.109625263229877e-07,4.7113893450968336e-07,1.3599353766773806e-06,1.4018560298391542e-06,4.041482936376388e-05,7.545991765901136e-07,7.612241945794141e-07,8.36412168585503e-07,2.9780650197261946e-06,2.6259793536745685e-06,5.063020822792955e-07,-3.131692635398469e-08,4.67017673350694e-06,1.3423954826662946e-05,8.889374631228691e-07,1.2244270550369042e-06
4,5.228745264445891e-07,5.294706059226061e-07,1.7111157627664933e-06,1.716599342416762e-06,4.5971691551149215e-05,8.439178736197831e-07,9.260287035260007e-07,1.0640299437611622e-06,3.5917152936613364e-06,2.918875174682867e-06,7.696740822955348e-07,8.269497919179522e-08,5.239557173284767e-06,1.561179407447167e-05,1.1407692930392221e-06,1.5321174233162073e-06
5,7.147880714356675e-07,5.877998210483714e-07,2.050649039004225e-06,2.00843154371229e-06,5.111517609230525e-05,9.354704569259675e-07,1.0822765232468865e-06,1.2844317008804356e-06,4.195759676925358e-06,3.187344587033716e-06,1.005366014292862e-06,2.1633719468005449e-07,5.8168893595439936e-06,1.759118798767633e-05,1.3857930419632198e-06,1.826637742432412e-06
6,8.847871515142426e-07,6.459504367781123e-07,2.3772547128331858e-06,2.2746825759120033e-06,5.579088697449741e-05,1.0287924186438285e-06,1.2291028986878608e-06,1.4958024719722468e-06,4.786680894525269e-06,3.428412792872279e-06,1.2113989624289125e-06,3.7172275821274e-07,6.40070082951787e-06,1.9346606018518714e-05,1.622974681793174e-06,2.1040254842573767e-06
7,1.0318167534378554e-06,7.037546318264672e-07,2.68976790323156e-06,2.5132137322345974e-06,5.9949581659065204e-05,1.1237437166792668e-06,1.366110346479996e-06,1.696606684142407e-06,5.360478528601334e-06,3.640787295683596e-06,1.3873491655219082e-06,5.511849304370896e-07,6.990792896596065e-06,2.0867361273642314e-05,1.851283701658952e-06,2.3629614444822124e-06
8,1.155847534673325e-06,7.610787562522168e-07,2.9869785184674747e-06,2.722494527401641e-06,6.355267168870198e-05,1.2203079164847526e-06,1.4931122897161132e-06,1.8858413208653962e-06,5.913120200852529e-06,3.824305375696035e-06,1.5341812674300793e-06,7.571857500045959e-07,7.5872146653514426e-06,2.214884888775695e-05,2.069589452707779e-06,2.6050060546857458e-06
9,1.257878675047857e-06,8.178620059595405e-07,3.2678046090401383e-06,2.901687066628802e-06,6.65769191323552e-05,1.3183754447538979e-06,1.609912168456683e-06,2.063164405855872e-06,6.44117209264825e-06,3.97926354778443e-06,1.6539474073080655e-06,9.922349224442377e-07,8.189261447036703e-06,2.319533894287451e-05,2.276692789976398e-06,2.833801877856442e-06
10,1.3398375534107665e-06,8.741135194599509e-07,3.5315709652260128e-06,3.0507357984402923e-06,6.901648711512187e-05,1.4176065338389098e-06,1.7162800373307576e-06,2.2287612148796148e-06,6.942091195023034e-06,4.1059439774127106e-06,1.7495288809609094e-06,1.2587753836021077e-06,8.795049517814368e-06,2.4018866699356983e-05,2.471444177949693e-06,3.0537885138616244e-06
