,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,6.914477254434121e-06,7.93109466102913e-08,3.5408137426747877e-06,5.146133803346152e-05,1.7613793113318503e-07,1.884947590379717e-07,4.5472853331402976e-07,2.015794459184937e-07,1.9184862132400433e-07,-8.262543167637095e-07,3.5681798954698836e-07,5.388891368551843e-07,2.945422876133341e-07,5.037323449398375e-08,2.7939009069310207e-08,1.736833150128056e-07
1,1.0657637846781857e-05,4.2724518650920675e-07,3.9080123923962265e-06,6.531442907008619e-05,2.7588842803915477e-07,2.796139315666616e-07,6.427687920665381e-07,7.299551256683794e-07,5.657319022769923e-07,-3.4477956357972475e-07,6.399472735328925e-07,6.053344531745431e-07,5.013683432616705e-07,1.0217465592149739e-07,1.2775582546338348e-07,3.027224230891156e-07
2,1.4418283430544901e-05,7.680987492725634e-07,4.2798761279554995e-06,7.860390362229505e-05,3.7173171181354547e-07,3.681172891715662e-07,8.324755934496195e-07,1.2392585685689605e-06,9.236933760478018e-07,1.1831327743137181e-07,9.22901795988698e-07,6.734608210626527e-07,7.011122603517243e-07,1.5325080702939936e-07,2.2655947926078387e-07,4.270747125605499e-07
3,1.815558780273212e-05,1.0969478684545116e-06,4.646933483162289e-06,9.119153997776522e-05,4.625592809051555e-07,4.51458086375563e-07,1.0228876493642087e-06,1.7243646818835065e-06,1.260516216986164e-06,5.559679215395451e-07,1.203566312712494e-06,7.415298930532064e-07,8.873791422980884e-07,2.0289833104473375e-07,3.2328279485605363e-07,5.448123209303543e-07
4,2.1835295495254842e-05,1.4093362194679677e-06,5.001262137172736e-06,0.00010295149224094607,5.475272763692512e-07,5.277015062142811e-07,1.2133944926673671e-06,2.1800875069658627e-06,1.571327721034049e-06,9.617514918329156e-07,1.4802439356606087e-06,8.083694510452807e-07,1.055099301462288e-06,2.506578005746002e-07,4.1705739066932656e-07,6.542111798741238e-07
5,2.5430899648137917e-05,1.7015854096927853e-06,5.337159598441287e-06,0.00011377157415616744,6.261052311117347e-07,5.955862873791374e-07,1.403750343995137e-06,2.601202874966784e-06,1.8520360565574395e-06,1.3303078972599495e-06,1.7517347359760346e-06,8.734622849824947e-07,1.2009749717398733e-06,2.9627131269808145e-07,5.072354518564661e-07,7.539754562363942e-07
6,2.8921665366152674e-05,1.9710047410015683e-06,5.651319746551446e-06,0.0001235529439152313,6.980349322769941e-07,6.544199220191648e-07,1.593937964790864e-06,2.982778057414919e-06,2.1000293552016147e-06,1.6581384399758165e-06,2.017248989324239e-06,9.366887439191575e-07,1.3235845322246176e-06,3.395974288268595e-07,5.933191275194918e-07,8.433615381259429e-07
7,3.228846292427556e-05,2.2159677889060102e-06,5.942339600186348e-06,0.00013221110631484023,7.632337234687842e-07,7.039430738057404e-07,1.783969212892987e-06,3.320734685335608e-06,2.3144240142416254e-06,1.9441507779689333e-06,2.2762837458829403e-06,9.979961475121355e-07,1.4231127185590425e-06,3.805568746713862e-07,6.748848302544695e-07,9.221197936566161e-07
8,3.5509326226662066e-05,2.43589437624549e-06,6.209664440280217e-06,0.000139680344614987,8.217021471338076e-07,7.442392706941143e-07,1.9737979063235482e-06,3.612361595253206e-06,2.495489996144351e-06,2.1896210408072993e-06,2.5285695309824303e-06,1.0572502757876894e-06,1.5008560944610278e-06,4.191122132860351e-07,7.51599421458129e-07,9.904180310675633e-07
9,3.8557011023606544e-05,2.6311329814174303e-06,6.45243688823636e-06,0.00014592099161909227,8.734969524516112e-07,7.756595800536782e-07,2.163425104926217e-06,3.856547927917496e-06,2.644007669651621e-06,2.3977852875956978e-06,2.774073273854789e-06,1.1142060362332226e-06,1.558727711294946e-06,4.5527804693215144e-07,8.232889694644355e-07,1.0488299382741219e-06
10,4.1400108961630114e-05,2.8027139652796975e-06,6.6687938455049706e-06,0.00015092526549118082,9.187933758646013e-07,7.987109969023424e-07,2.3530331196306556e-06,4.05370845304658e-06,2.761220763588611e-06,2.5733717686575892e-06,3.013025428993422e-06,1.1684693145483198e-06,1.5988677517435368e-06,4.891384023678518e-07,8.899545741888279e-07,1.0982893249431066e-06
11,4.400742706160051e-05,2.9520136532276885e-06,6.855814828918156e-06,0.00015471513565442442,9.579594305681969e-07,8.139503662622448e-07,2.5429657471054946e-06,4.205554498080695e-06,2.848984998690173e-06,2.722141156439645e-06,3.2459287916064934e-06,1.2194638306340277e-06,1.6233670692810803e-06,5.208355314079398e-07,9.517311560310359e-07,1.1399430186263579e-06
