,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,5.29697795084165e-07,1.295600952843122e-07,9.308021915876612e-08,-1.5016573875030144e-07,1.1408969797693061e-07,1.7932465349633178e-07,1.258703327753399e-07,1.1727081816537865e-07,1.4509860021449473e-07,2.223408539720348e-07,3.1924591780461207e-07,4.0859106735380245e-06,2.373717201699787e-07,1.7635728000260462e-08,9.482905798279662e-08,-1.2847819573557e-08
1,1.723990474672958e-06,1.9530968846524698e-07,1.1150721895172976e-07,5.717655111486536e-07,1.9472670481808084e-07,2.5831516932677303e-07,1.581271920757432e-07,1.754178511971009e-07,3.1458558065210586e-07,2.985873714875808e-07,4.4499779154528986e-07,5.647283745505609e-06,2.883502095686402e-07,8.342563650955714e-08,1.3679642403260262e-07,1.7459900007263685e-07
2,2.8691317535645674e-06,2.6655947893718736e-07,1.3176232052277093e-07,1.2650165439829927e-06,2.731946250133978e-07,3.3487108329608216e-07,1.9185295540191453e-07,2.3328097106518984e-07,4.75540716560347e-07,3.768825498665145e-07,5.668191207264757e-07,7.180459474318537e-06,3.414742459030933e-07,1.4628383117156063e-07,1.7994775798362435e-07,3.544839322852427e-07
3,3.950882584628813e-06,3.432996429239627e-07,1.5359684516666285e-07,1.922138774943827e-06,3.481499879650093e-07,4.0839096993871287e-07,2.2661232916242756e-07,2.8964960986473706e-07,6.243296659858931e-07,4.5695075643120776e-07,6.828610301642347e-07,8.641381326301862e-06,3.959489249488428e-07,2.0575468243807458e-07,2.2404512642708193e-07,5.243350229664078e-07
4,4.955020438523556e-06,4.2548072341716044e-07,1.7687850522451994e-07,2.535932527985786e-06,4.1835836156277476e-07,4.784404630381921e-07,2.621317319993705e-07,3.435673679142128e-07,7.584492498668447e-07,5.384937425481912e-07,7.914917781595113e-07,9.992233890849797e-06,4.510627787243591e-07,2.616007640754941e-07,2.6888301760432846e-07,6.820810098004672e-07
5,5.868198107002269e-06,5.130019675689204e-07,2.016474248860963e-07,3.0997577416265683e-06,4.827833672027317e-07,5.447025949332315e-07,2.9826978595967266e-07,3.9444068363984357e-07,8.766334404938124e-07,6.211712488685204e-07,8.915003013076953e-07,1.1204351577579947e-05,5.062176946479082e-07,3.136953430940334e-07,3.142876938280037e-07,8.260875810178538e-07
6,6.679342493826498e-06,6.057143644940433e-07,2.28100095078964e-07,3.608051720642344e-06,5.407154817805837e-07,6.068659429282669e-07,3.3495121470144167e-07,4.4208292236657395e-07,9.785174651267758e-07,7.04601877243937e-07,9.821674441065861e-07,1.2261825795593282e-05,5.610110325322173e-07,3.6195213080939756e-07,3.60090710495119e-07,9.552285336903927e-07
7,7.381034497987404e-06,7.034303875942672e-07,2.5651408030567766e-07,4.0569192232982784e-06,5.918331265902763e-07,6.645485874869173e-07,3.721330013364749e-07,4.866647013730137e-07,1.0641757908469995e-06,7.884135416936843e-07,1.0631184171234466e-06,1.3161496232486031e-05,6.152885949997956e-07,4.06316849675087e-07,4.061111525069797e-07,1.0689667362666795e-06
8,7.970346496107964e-06,8.05908680332006e-07,2.871711689606497e-07,4.444614342841527e-06,6.361481156245778e-07,7.17314863299099e-07,4.098023727547141e-07,5.285769012883281e-07,1.1338987230925212e-06,8.723335000579944e-07,1.1341309372531542e-06,1.3908117063900352e-05,6.690825553014102e-07,4.4679746707813686e-07,4.5216166821697645e-07,1.167383931711025e-06
9,8.448918670564818e-06,9.128066747420112e-07,3.203136440360527e-07,4.771760317836257e-06,6.738996224200904e-07,7.64771379528348e-07,4.4795824579721675e-07,5.682781361599564e-07,1.1882201514639947e-06,9.562596286972694e-07,1.195102360112207e-06,1.4508430714366014e-05,7.224895873621831e-07,4.835264651587547e-07,4.980537925176412e-07,1.2511613273482792e-06
