,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,1.7755178603068712e-07,2.493686832877721e-07,1.2094299330062015e-07,5.558942058151734e-08,-1.1382122469779664e-08,-1.29452817477135e-08,3.972159391094402e-07,5.949610293655206e-07,3.51860016584845e-07,2.66561180209737e-07,1.332246895693626e-07,-1.6039551384231301e-06,1.6161525852101983e-07,1.1650331733811665e-07,-1.4516583877149862e-08,1.6159696075447422e-06
1,2.3108509073164315e-07,3.1260453371410395e-07,1.6636535685798338e-07,1.1023194882193086e-07,8.123733780435525e-08,7.413585282251817e-08,4.647504142761081e-07,6.667151607575356e-07,4.688829610532133e-07,3.000403121094335e-07,2.668827089736561e-07,1.9426725074360872e-06,2.3503524101657642e-07,1.8757883711732333e-07,9.264699806599521e-08,1.7133654354097872e-06
2,2.8307666342575596e-07,3.765253461551427e-07,2.1245377256929127e-07,1.630093934747778e-07,1.7015117077481506e-07,1.5978978689951346e-07,5.335742067218462e-07,7.436209978308113e-07,5.889618028588214e-07,3.346250795271724e-07,3.9659936148784286e-07,5.348827636862519e-06,3.0854146878664226e-07,2.577278229403133e-07,1.9735721228547659e-07,1.8179613088805624e-06
3,3.3296656044287045e-07,4.409602633749315e-07,2.5835626134365025e-07,2.128835404540842e-07,2.5371725741631593e-07,2.4255391833362133e-07,6.035167587726074e-07,8.254422062655341e-07,7.105447426158695e-07,3.700986275915066e-07,5.207065177013749e-07,8.582917630112531e-06,3.8137181403577237e-07,3.2545330090289456e-07,2.9873116701127965e-07,1.9276013774299965e-06
4,3.8049924210565603e-07,5.058171844127689e-07,3.033742754619801e-07,2.5910854333587716e-07,3.308920217263973e-07,3.212935959867559e-07,6.743907550193983e-07,9.118338545046898e-07,8.325792577883461e-07,4.0640632567435904e-07,6.377895145954312e-07,1.1614377978512883e-05,4.527915349334334e-07,3.894878697978394e-07,3.961994192469959e-07,2.04071084282416e-06
5,4.256492446469569e-07,5.71021430939398e-07,3.4696858172292576e-07,3.0132005514345195e-07,4.012625485673128e-07,3.9515740320180195e-07,7.459294794165879e-07,1.002411125254186e-06,9.545062841252517e-07,4.435379295660173e-07,7.46721069251586e-07,1.4413952896882776e-05,5.221563134384652e-07,4.488996071299872e-07,4.893589769542777e-07,2.1563807722114545e-06
6,4.6846838955316317e-07,6.36430931491761e-07,3.887494067681893e-07,3.394925517726371e-07,4.6488190040193977e-07,4.6351525616608575e-07,8.177365048427655e-07,1.0968614891494056e-06,1.0760363493873174e-06,4.814437365983622e-07,8.4687152541503e-07,1.6955789647397986e-05,5.890371022089393e-07,5.030881394219228e-07,5.778088122230629e-07,2.274116196529415e-06
7,5.089896633810135e-07,7.017831676187789e-07,4.284848484986894e-07,3.7380554242199855e-07,5.220441024296551e-07,5.259855962802765e-07,8.892686900445038e-07,1.1950491983325216e-06,1.1969723304809565e-06,5.200175938747388e-07,9.382225040988507e-07,1.9220971250867268e-05,6.532920222415436e-07,5.517723024756869e-07,6.610694688965482e-07,2.3934694613298834e-06
8,5.471938656322019e-07,7.666928536504244e-07,4.6609864977984634e-07,4.0451469223681595e-07,5.731164947867337e-07,5.824991636087927e-07,9.598264765795512e-07,1.297067095919119e-06,1.3171949846337794e-06,5.59120333309208e-07,1.0211743753307066e-06,2.120134994265905e-05,7.1496044055791e-07,5.950064254212837e-07,7.385923625700301e-07,2.5137521310735323e-06
9,5.830102936480016e-07,8.306989511008431e-07,5.016178630084709e-07,4.318986540703267e-07,6.184878083789201e-07,6.332922862942581e-07,1.028547559324638e-06,1.4031953803568155e-06,1.4366459392131281e-06,5.986071361078119e-07,1.096307748404455e-06,2.290215270169054e-05,7.740833430299347e-07,6.331253799753426e-07,8.098250707681605e-07,2.6338775364879445e-06
10,6.163585471723661e-07,8.933258672593663e-07,5.350902031428001e-07,4.5627771713509353e-07,6.58620994886885e-07,6.788049782925106e-07,1.0944577491087728e-06,1.5137689848003245e-06,1.5552229952923882e-06,6.383264522294485e-07,1.1643401099784488e-06,2.434175206200023e-05,8.306235236822809e-07,6.666082862048183e-07,8.743010650179039e-07,2.7523005878301177e-06
11,6.472010730628708e-07,9.540915569587655e-07,5.66532788736651e-07,4.780487164009498e-07,6.941105823944424e-07,7.195517760174826e-07,1.1566092184182535e-06,1.6290246177270364e-06,1.6726809086760357e-06,6.780770909538343e-07,1.2261329725547115e-06,2.5548183865320626e-05,8.844807774487215e-07,6.959565346076593e-07,9.317365297434517e-07,2.867054745386345e-06
12,6.755560095501157e-07,1.0124521861144033e-06,5.959365328270269e-07,4.977281511876589e-07,7.256499412438281e-07,7.560397631574637e-07,1.2142346155537828e-06,1.7489972729794693e-06,1.7885893895228968e-06,7.175505664583241e-07,1.2826115783607031e-06,2.6553796076565052e-05,9.355536662121043e-07,7.216280916558594e-07,9.820971836196526e-07,2.9759417177314364e-06
13,7.014974348032893e-07,1.0677523268874233e-06,6.232975209275669e-07,5.160377465855939e-07,7.539209862533749e-07,7.887384676871507e-07,1.266825411787915e-06,1.8734578533932588e-06,1.90240393862361e-06,7.563008571176343e-07,1.334707679786968e-06,2.7390221863449447e-05,9.838300309973289e-07,7.440174953487585e-07,1.025594068438117e-06,3.076834309333124e-06
14,7.251617142175702e-07,1.1192125450970578e-06,6.486505420355007e-07,5.339903666164417e-07,7.794890764067819e-07,8.181051047690269e-07,1.3141271366805177e-06,2.001862492320302e-06,2.013658876390299e-06,7.937650620969021e-07,1.3833802058712787e-06,2.8085358818245827e-05,1.029419490428365e-06,7.634626173166575e-07,1.0626258208802397e-06,3.1679866342784087e-06
15,7.467044383874781e-07,1.1659275596443173e-06,6.720841275019608e-07,5.528675818969547e-07,8.027507561270815e-07,8.446713023831951e-07,1.3560869890245675e-06,2.1333699309318258e-06,2.1220826588534488e-06,8.293270064892389e-07,1.4295905586831023e-06,2.8662563077437888e-05,1.0724801394760719e-06,7.802559987175894e-07,1.0937358595792735e-06,3.248279712825282e-06
