,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,-5.414082927741913e-07,1.1467304585705871e-06,3.4328610793082575e-07,1.5590316005441823e-06,2.8730131685646974e-07,-4.1027815483762055e-08,7.612777078510373e-08,2.533047443370609e-07,6.05913986639573e-07,1.90819158516193e-07,-8.012606216278188e-08,-1.0729847714183802e-08,1.9584682219726858e-07,2.0259791899850707e-07,2.2133039556473875e-08,6.659510017695112e-07
1,1.578790610935549e-06,1.5789081408198952e-06,1.055342887757363e-06,2.8958851641607415e-06,3.3914389394015166e-07,2.4950779343832122e-08,1.4187563196961085e-07,3.2923318155342077e-07,7.489663365519426e-07,2.8439591846574953e-07,5.595464866216032e-08,1.2629334097130967e-06,2.603542677280373e-07,2.694402637613148e-07,1.6422228442354027e-07,7.224873909482686e-07
2,3.600721281402385e-06,2.0013941371657654e-06,1.743811158478772e-06,4.179668683624135e-06,3.913721727728971e-07,9.006525908459897e-08,2.0805255474931808e-07,4.028601435831095e-07,8.913365746506711e-07,3.7992421948616185e-07,1.8871909332813768e-07,2.4646426599910895e-06,3.249515832096354e-07,3.364829312093412e-07,3.0042568311296514e-07,7.816382279208187e-07
3,5.488856679748118e-06,2.4105105152774886e-06,2.4038119796922535e-06,5.386076044919999e-06,4.433030304955895e-07,1.5352863307135534e-07,2.739333010381638e-07,4.7319904085650673e-07,1.0314426185390912e-06,4.7605108178807764e-07,3.1646963984130064e-07,3.5765966264774297e-06,3.890829450355772e-07,4.0258693095714907e-07,4.2892137568283123e-07,8.427073401466376e-07
4,7.209408597927255e-06,2.802517131896576e-06,3.030571459737404e-06,6.495020673101259e-06,4.942927294444186e-07,2.1460751663213757e-07,3.3883363956224855e-07,5.393964598379888e-07,1.167999363288607e-06,5.717510581148855e-07,4.3762860218704827e-07,4.583013591039259e-06,4.522113515792508e-07,4.6678185463763116e-07,5.483018763811326e-07,9.050792103420299e-07
5,8.732841052142473e-06,3.173756571199233e-06,3.619509135184451e-06,7.4916627143331e-06,5.438023545088051e-07,2.7259555592714497e-07,4.0210916879744885e-07,6.007749454380916e-07,1.299985668017617e-06,6.664096697543262e-07,5.507691082490523e-07,5.471147631528524e-06,5.138217578930633e-07,5.283854861665727e-07,6.576484596357419e-07,9.683237448978495e-07
6,1.0037157191182392e-05,3.52094356803827e-06,4.166120792674068e-06,8.366869764380126e-06,5.914303254886687e-07,3.268355275266887e-07,4.631858071889759e-07,6.568434845893088e-07,1.4264505363085662e-06,7.59768099369049e-07,6.547130767573147e-07,6.232308046797556e-06,5.734274156807392e-07,5.870314673450189e-07,7.564638005373223e-07,1.0321531651438415e-06
7,1.1110783298057913e-05,3.841493824267401e-06,4.665673167859326e-06,9.117196331606362e-06,6.368844194782704e-07,3.7682965963600867e-07,5.2162320611395e-07,7.072771086657415e-07,1.546363723365947e-06,8.517909891524384e-07,7.486599864454005e-07,6.861891075603662e-06,6.305669877583609e-07,6.425679093558847e-07,8.44519328866243e-07,1.0962853466452957e-06
8,1.1953921745345908e-05,4.133769833052098e-06,5.113023238087626e-06,9.744419440586401e-06,6.798941999689396e-07,4.223835406233228e-07,5.771521964361889e-07,7.519111731534532e-07,1.6586335229787698e-06,9.425507238622718e-07,8.322534111913003e-07,7.358871991277687e-06,6.848423596048493e-07,6.949442880553408e-07,9.217569253402964e-07,1.1603430596722947e-06
9,1.257772893371948e-05,4.397174531943013e-06,5.5029406904558285e-06,1.0254691513315844e-05,7.201169732008755e-07,4.63664556236478e-07,6.296530557997316e-07,7.907631928801147e-07,1.7621941583240102e-06,1.0321480152333873e-06,9.055644512531383e-07,7.72573133597394e-06,7.359922119664044e-07,7.44125384815394e-07,9.883226054333385e-07,1.2237924034989148e-06
