,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,1.5236695850554914e-07,4.08802913333538e-08,5.304896415599345e-07,2.442322071503597e-06,1.570950888420748e-07,7.358263205795277e-08,4.6621416981144605e-07,-8.443687892647951e-08,8.325181138633427e-07,2.63519675519063e-07,5.823411317321473e-07,-4.901329950515702e-07,2.985263266144261e-07,1.9000246112836357e-07,1.1953379842861746e-07,4.174574838993413e-07
1,1.8643238273769155e-07,1.1780109437478208e-07,6.490522789734171e-07,2.752482578213733e-06,2.7129477318760535e-07,1.336490263734493e-07,5.093097274781953e-07,1.7266581839447766e-07,1.6745272677087183e-06,3.120655342697437e-07,6.767546079894642e-07,7.491882518405619e-07,3.4451584456465517e-07,2.220679102002313e-07,1.830190563783587e-07,5.215690453250166e-07
2,2.208920593053304e-07,1.928752989827366e-07,7.676005591619949e-07,3.0748680668173355e-06,3.813601178518438e-07,1.9196745567810601e-07,5.5444738433328e-07,4.2359730948813994e-07,2.4942035975018937e-06,3.6101025149623646e-07,7.707472259880795e-07,1.9671668029483106e-06,3.914609745039283e-07,2.5397245852057063e-07,2.4406705101110093e-07,6.255720699478207e-07
3,2.5548803142673157e-07,2.640340966603762e-07,8.844398797952223e-07,3.4082007388545027e-06,4.862298379181372e-07,2.473875679262047e-07,6.011977657003546e-07,6.659896594981983e-07,3.287150676556412e-06,4.097473729652025e-07,8.636296030820144e-07,3.123546647061979e-06,4.389429210157897e-07,2.853295028919874e-07,3.016404737404275e-07,7.291479844590794e-07
4,2.901031840531593e-07,3.29773712655103e-07,9.978238940386798e-07,3.751070204006256e-06,5.848511866678715e-07,2.9891592284998047e-07,6.491147110173111e-07,8.978282311424114e-07,4.049016601661609e-06,4.577353509121397e-07,9.547145100464158e-07,4.189403468420863e-06,4.866324019262245e-07,3.1589708585782873e-07,3.551068683160907e-07,8.32167399943376e-07
5,3.247086743867217e-07,3.8930326748828005e-07,1.1061038794057846e-06,4.1018649086507685e-06,6.762114908974009e-07,3.4576456683255645e-07,6.978232682887075e-07,1.117400606719343e-06,4.7750470799803816e-06,5.045945192442552e-07,1.0433110684424745e-06,5.151334177380426e-06,5.342801804851566e-07,3.455221622889337e-07,4.042272234635492e-07,9.345469627677252e-07
6,3.5933632604412073e-07,4.4250168869149486e-07,1.2079400437443632e-06,4.458595211947126e-06,7.594128534735869e-07,3.8745919997286023e-07,7.470843085278931e-07,1.3231726877117186e-06,5.459773306694946e-06,5.501557114174731e-07,1.1286958945780225e-06,6.01090875365873e-06,5.816470642247837e-07,3.7410006389710394e-07,4.490129136608543e-07,1.0360955641200882e-06
7,3.940673096195891e-07,4.897307643412334e-07,1.3024326432610216e-06,4.818702704031746e-06,8.337895414103531e-07,4.2393367321467584e-07,7.967685846297911e-07,1.5137860609317441e-06,6.096921519182709e-06,5.943871732636618e-07,1.2101037946056182e-06,6.7800528727270675e-06,6.284308815468246e-07,4.015969624635178e-07,4.895915976458873e-07,1.1364419260446372e-06
8,4.2901154818411257e-07,5.316023252287201e-07,1.3890758165888072e-06,5.179043893683108e-06,8.990174842698972e-07,4.5546537881027765e-07,8.467757213756037e-07,1.6882149691619383e-06,6.67955827088067e-06,6.37265086548275e-07,1.286798022035987e-06,7.475903288423432e-06,6.742364245087625e-07,4.280684360455325e-07,5.261325243992182e-07,1.235041864172606e-06
9,4.6430462665336055e-07,5.687899473174994e-07,1.4675668906995964e-06,5.536036210866199e-06,9.551561326397548e-07,4.82504449928044e-07,8.969813102293575e-07,1.8459295221032894e-06,7.20068447546029e-06,6.786883766867349e-07,1.3581555296045856e-06,8.117433387756232e-06,7.185861100079836e-07,4.5361831717806305e-07,5.58823155771454e-07,1.3312548355694334e-06
10,5.00114103467897e-07,6.019393206520294e-07,1.5376461748506584e-06,5.885730985552894e-06,1.0026192196947996e-06,5.055662826717656e-07,9.472156039405142e-07,1.986950013969864e-06,7.654207662625324e-06,7.184710956554588e-07,1.423659740276232e-06,8.723678443420146e-06,7.609527883950222e-07,4.783411453056093e-07,5.878971722938354e-07,1.4244748373314836e-06
