,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,1.6919865264630267e-07,6.90241700929501e-08,1.2988449937206408e-06,2.0693982564864757e-06,2.3009705735899336e-07,4.0790488006062343e-07,1.7783384530476587e-07,1.3509769876794696e-06,4.5141156125552696e-07,1.1986381043570974e-07,-3.303537405004432e-08,2.441907348689282e-06,9.449391783891464e-08,1.4387668899461533e-07,8.740353703315682e-08,7.713015680758572e-07
1,2.798453829295896e-07,1.094569048246379e-07,1.3789679693506498e-06,2.2523563981057748e-06,2.722691277231642e-07,5.309896492235061e-07,2.392754805163907e-07,1.6020136138114512e-06,5.604865650217571e-07,1.9682841432580568e-07,1.2190929851883045e-07,2.6062384329321964e-06,1.822033577970104e-07,2.771052232664476e-07,1.8211321174248987e-07,1.0700265528194564e-06
2,3.872843065506763e-07,1.5019362034294027e-07,1.4661024185349669e-06,2.456785081837646e-06,3.150520135557528e-07,6.490301634632495e-07,2.9959047493620786e-07,1.8596491424092466e-06,6.689789544211572e-07,2.733065669656712e-07,2.73923550306527e-07,2.7685548048452034e-06,2.6778817641961217e-07,4.0640138619741467e-07,2.7326770520221334e-07,1.3728777996151971e-06
3,4.909409281013525e-07,1.9105079451325062e-07,1.5595153159718371e-06,2.6827469541387538e-06,3.574728761798087e-07,7.60791643502987e-07,3.5818544928181015e-07,2.12094045567381e-06,7.738816140268794e-07,3.4849480341486136e-07,4.208483850816963e-07,2.9283938666348006e-06,3.5045446646222203e-07,5.28662493449802e-07,3.590401356942169e-07,1.6775923425509477e-06
4,5.903785264311716e-07,2.3193689095999654e-07,1.6586324749765008e-06,2.930536210224184e-06,3.9876523356981985e-07,8.651336876742263e-07,4.1465129320859526e-07,2.3831672116065324e-06,8.727729909037525e-07,4.2175417350825076e-07,5.607608015406862e-07,3.0855438011888162e-06,4.295414739408052e-07,6.413813219002394e-07,4.380466935324258e-07,1.981860902116898e-06
5,6.852168958851654e-07,2.728021984415738e-07,1.7629193906625152e-06,3.2008099871809714e-06,4.3840657583914737e-07,9.610258948444587e-07,4.6878417754014646e-07,2.64401334888348e-06,9.63845939662834e-07,4.927514211749203e-07,6.921507062594693e-07,3.239907247499567e-06,5.044654746623049e-07,7.429574548834621e-07,5.093049289670047e-07,2.2834579391170953e-06
6,7.750654299490133e-07,3.1360204036627197e-07,1.871693845759725e-06,3.4945953318938917e-06,4.760427220042455e-07,1.0476011475121055e-06,5.205458303809573e-07,2.9016128639862636e-06,1.045830833158582e-06,5.614380112941869e-07,8.140037919017996e-07,3.3912401612607685e-06,5.746394860678636e-07,8.328082130903349e-07,5.721968053813482e-07,2.5802691954743675e-06
7,8.5951242810607e-07,3.5429440437157664e-07,1.9840102609957066e-06,3.813137437120506e-06,5.114061890266467e-07,1.1242247552091416e-06,5.699946842460706e-07,3.1543779151271183e-06,1.118106337773046e-06,6.27892380255942e-07,9.257421100240768e-07,3.5389144506437906e-06,6.394540102732351e-07,9.111987323482841e-07,6.264512519217389e-07,2.8701292154473855e-06
8,9.381446894083922e-07,3.9484342153188616e-07,2.0986164501309617e-06,4.1576518309166285e-06,5.442934474701436e-07,1.1905503575794683e-06,6.172435944718542e-07,3.400665798616473e-06,1.1808113948816919e-06,6.922051386607784e-07,1.0271321891102507e-06,3.681821500138975e-06,6.983368930974909e-07,9.789417544940643e-07,6.721054880617418e-07,3.1506584140721912e-06
9,1.0106183112471193e-06,4.352082976740394e-07,2.2138996245344833e-06,4.52908077355549e-06,5.745308565995015e-07,1.2465678551042927e-06,6.624355235189128e-07,3.638460837456032e-06,1.2346471845866184e-06,7.544787300556652e-07,1.1182459770637843e-06,3.818415709881523e-06,7.508350982789045e-07,1.0371689266491925e-06,7.094507800536171e-07,3.419295438768888e-06
