,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,-2.5507129466509897e-08,1.592636264462243e-07,9.880119157709921e-08,2.7688164906319873e-06,1.4617463200579213e-07,1.4580777346326945e-07,1.7596067205754787e-07,5.088083026648702e-08,-3.0569072789595055e-07,7.288675677488128e-07,7.913458166667169e-07,6.149419462272049e-07,2.5620551053064927e-08,3.2599169884233217e-07,1.8170280599340188e-07,1.470073921611096e-07
1,7.941552756741458e-08,4.090018652927725e-07,2.3774978854397215e-07,4.167729103813421e-06,1.955063487887469e-07,1.8412356265597306e-07,2.1144005456789735e-07,1.485557663749873e-07,6.3618772408277e-07,3.193407456108085e-06,1.0559919440017042e-06,1.0995413859449723e-06,2.2342442589565109e-07,3.7521512363156014e-07,2.2284081639867884e-07,2.4908926576713577e-07
2,1.8419878643203033e-07,6.529877626407776e-07,3.7422214493396486e-07,5.511880153675728e-06,2.4482255601144675e-07,2.2378331809334854e-07,2.471912658777943e-07,2.4435895605782956e-07,1.5395205750784444e-06,5.650589383201603e-06,1.315912999665101e-06,1.5658468706716002e-06,4.128042693350172e-07,4.2396283226793727e-07,2.635455828528017e-07,3.509116772381338e-07
3,2.889272290116938e-07,8.887805638666909e-07,5.064536244461189e-07,6.774716307352259e-06,2.9337726733501835e-07,2.6411953581827593e-07,2.8282779316473127e-07,3.3582361388452276e-07,2.3842382102167984e-06,8.087956443747165e-06,1.5633293388276965e-06,2.005620169513494e-06,5.918473529409083e-07,4.712843431113336e-07,3.0307679383151366e-07,4.516290867780394e-07
4,3.9408391711136346e-07,1.1140580460976543e-06,6.328232775756484e-07,7.93389212173163e-06,3.4062938935165495e-07,3.047117965941252e-07,3.1805513797655944e-07,4.208589698446337e-07,3.154845556084854e-06,1.0492453982715663e-05,1.7925209237150309e-06,2.4111836515199804e-06,7.588011613347389e-07,5.163442615964266e-07,3.409351509372613e-07,5.504782510674848e-07
5,5.004951724306727e-07,1.326761303419067e-06,7.518363668784743e-07,8.97253793328613e-06,3.862983695785511e-07,3.4531400993058454e-07,3.526508079988575e-07,4.97945314297592e-07,3.841004054427137e-06,1.2850464659356301e-05,2.0002762486043736e-06,2.775455676072669e-06,9.120524689718889e-07,5.585138481098243e-07,3.7687484310386763e-07,6.467806762391084e-07
6,6.091688970160232e-07,1.5252181093031922e-06,8.621175808537382e-07,9.879847062678299e-06,4.303195720917367e-07,3.8576376145401333e-07,3.86463025310802e-07,5.662773766449466e-07,4.437302740332339e-06,1.5148826820691384e-05,2.185385846642772e-06,3.0924097248126937e-06,1.0501860188611632e-06,5.974529867153977e-07,4.1086329810093193e-07,7.39922284671473e-07
7,7.211862134614488e-07,1.7081520987359601e-06,9.62549743694725e-07,1.0651012710115423e-05,4.727460592403015e-07,4.2596156963837317e-07,4.1939301905653833e-07,6.257999681109958e-07,4.942576051700932e-06,1.7376487359984347e-05,2.347850990739236e-06,3.3580844769074955e-06,1.1720954047433703e-06,6.33087366992785e-07,4.430144352861258e-07,8.293342201147988e-07
8,8.37750709914329e-07,1.8745705344182918e-06,1.0525103533383882e-06,1.1286682629227265e-05,5.136684323562749e-07,4.6587472872693683e-07,4.513350489574984e-07,6.771103077590934e-07,5.359019565613354e-06,1.9525926929638324e-05,2.488565515934535e-06,3.5714540125512864e-06,1.2770592509252598e-06,6.65482084179174e-07,4.7350660021518365e-07,9.145230238634871e-07
9,9.603274908760783e-07,2.0236575716462266e-06,1.1319858252057632e-06,1.1792074146823528e-05,5.531902470523594e-07,5.055072267499301e-07,4.821227170642242e-07,7.212516289005916e-07,5.691320395341827e-06,2.159370333397045e-05,2.609170170697644e-06,3.7344484297022835e-06,1.3647841168199194e-06,6.947364326490673e-07,5.025090706916865e-07,9.95171977509573e-07
