,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,3.8648755841578645e-06,4.198153993884688e-07,7.120603708859496e-07,8.013858374584288e-07,1.51255943282164e-07,-9.85472793221719e-08,2.224704227659999e-07,4.951305297810691e-07,2.2613626129779245e-06,3.3700763736598396e-07,3.3018127381558375e-08,6.187031407528292e-06,2.0552380419631705e-07,1.1363152658692153e-07,6.443429066708356e-08,2.403068014693805e-07
1,5.155428499235909e-06,4.603426647908771e-07,8.54509358194188e-07,8.804858874047478e-07,2.0160632100616204e-07,-1.847883140572281e-11,2.5555303050068013e-07,5.406696163050274e-07,3.0465792372123073e-06,4.142932563254409e-07,1.2646967424491942e-07,8.972210703443506e-06,2.5740775760214777e-07,2.169466224473236e-07,1.2422793578669955e-07,3.12442030172096e-07
2,6.451834026190415e-06,5.035678254839223e-07,9.946266223007475e-07,9.674623182031924e-07,2.525952305797091e-07,9.408696425829993e-08,2.8956642460196796e-07,5.876252751237523e-07,3.8121145808175086e-06,4.92376448158221e-07,2.1606026547264618e-07,1.1680388927833817e-05,3.1149169707994885e-07,3.169209653872654e-07,1.8316678642801264e-07,3.854642744769874e-07
3,7.7488277412951e-06,5.489408879655753e-07,1.130097588433585e-06,1.0627638525966633e-06,3.035497855480424e-07,1.8312796373876675e-07,3.241178191605682e-07,6.352534254255837e-07,4.540228704739567e-06,5.705138678258498e-07,3.0139883387300376e-07,1.4268765485221827e-05,3.671449821243541e-07,4.118044093543748e-07,2.397416391631848e-07,4.585060287138948e-07
4,9.040296246582902e-06,5.959865210584587e-07,1.2589013960984685e-06,1.1667338611241292e-06,3.540199794590663e-07,2.6652944220901653e-07,3.5883166691332016e-07,6.829041055829403e-07,5.2151351474431075e-06,6.479605768237587e-07,3.8224701699053494e-07,1.6702817500726822e-05,4.23829352867798e-07,5.0024852178697e-07,2.9267542940149424e-07,5.307738874459103e-07
5,1.0318925929083152e-05,6.4425093559214e-07,1.379385516395781e-06,1.2795816468658575e-06,4.0380688271181e-07,3.4375242278907534e-07,3.933370537644807e-07,7.301680232118692e-07,5.824370659007305e-06,7.239990310406658e-07,4.5844049957689585e-07,1.8959376687948926e-05,4.811041728756522e-07,5.813738494392625e-07,3.4106584863790633e-07,6.015493816985099e-07
6,1.1576359432583896e-05,6.932854593399048e-07,1.4903243470398212e-06,1.4013374957571373e-06,4.52893685269062e-07,4.143058310086068e-07,4.2729176858894044e-07,7.769607299846667e-07,6.359795667112128e-06,7.979390634765358e-07,5.298025197793165e-07,2.1025879332642643e-05,5.385977498235362e-07,6.547212230425138e-07,3.8449864843858535e-07,6.702297892766158e-07
7,1.2804240962755491e-05,7.426790127434396e-07,1.590921535151545e-06,1.5318147054457132e-06,5.013470520771954e-07,4.77798320820802e-07,4.6043762915875016e-07,8.234664742693255e-07,6.817705692915471e-06,8.691569187474497e-07,5.960970099573559e-07,2.2895937803037504e-05,5.960048379271017e-07,7.201415278961529e-07,4.229935795733229e-07,7.36366134466447e-07
8,1.399594827189759e-05,7.920629131296608e-07,1.6807256901071292e-06,1.6705863889622992e-06,5.492684882454889e-07,5.339824101600031e-07,4.926421530370451e-07,8.699943081929877e-07,7.198102837569106e-06,9.372529917018308e-07,6.570198173414505e-07,2.456488717966913e-05,6.530964670820021e-07,7.77683023342186e-07,4.5680872029376165e-07,7.996800847181632e-07
9,1.5147955335206594e-05,8.410451347263508e-07,1.7595065730745388e-06,1.8169674009573493e-06,5.967934889844809e-07,5.827886126724591e-07,5.238935856020232e-07,9.168465764095392e-07,7.503522589279261e-06,1.0021894363683396e-06,7.12258816314643e-07,2.602867154009339e-05,7.097185485494418e-07,8.275171233864793e-07,4.862784041177089e-07,8.600672743053957e-07
