,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,7.202320862302914e-07,1.6754721186094603e-07,3.669403544190818e-08,1.245310565759591e-06,5.705836427866501e-07,1.4375259569652773e-07,-2.929478386960027e-07,5.771898696951916e-07,1.0549571971448622e-06,1.8595146866405831e-06,7.2715129239343385e-06,1.5509610044675294e-06,-1.7963051918012892e-07,-6.214066937072734e-07,3.125559561544567e-07,8.95447606729996e-08
1,8.248035679063619e-07,2.2703024495457805e-07,2.0516290628037198e-07,1.322553838824313e-06,6.937994589380778e-07,8.048313495177027e-07,6.094360327519437e-08,7.207162628291504e-07,1.4049550884952513e-06,2.3968220080714297e-06,8.242638816761477e-06,2.091149927624378e-06,4.3042452255965415e-07,1.9849115485144266e-06,4.2970808483297213e-07,2.3691637604048793e-07
2,9.298689600105841e-07,2.8877123264312457e-07,3.702301450730629e-07,1.4086324329940847e-06,8.264080453430264e-07,1.4469645355563375e-06,4.0136349195639025e-07,8.677101829531472e-07,1.7535846327125398e-06,2.91386768017994e-06,9.278468662652244e-06,2.628978124081952e-06,1.0241935367048317e-06,4.453721756213646e-06,5.469308802418407e-07,3.836202763731395e-07
3,1.0332405949586067e-06,3.5212264240739294e-07,5.307677678984453e-07,1.5033435376224065e-06,9.68439247274983e-07,2.065840402460752e-06,7.257705269034431e-07,1.015655282720611e-06,2.0952526477610624e-06,3.3984358582851267e-06,1.0374219144658687e-05,3.1605893190375924e-06,1.5951409374783796e-06,6.749011260857524e-06,6.624833806207812e-07,5.284084532477545e-07
4,1.1327283657173546e-06,4.1665551643868113e-07,6.857479276977159e-07,1.60632374518577e-06,1.120016084268539e-06,2.657167178755571e-06,1.0317406979357564e-06,1.1624451619087525e-06,2.425848641772005e-06,3.839208449889208e-06,1.1523281470760278e-05,3.68190569978962e-06,2.1374137867447024e-06,8.838604560918619e-06,7.74702664287743e-07,6.702934459109016e-07
5,1.2262367821200144e-06,4.820759683702362e-07,8.342058732776943e-07,1.7170829301013354e-06,1.2813278488113292e-06,3.2168543852572813e-06,1.3170201856990615e-06,1.3064589848355675e-06,2.743129440439111e-06,4.226969342601476e-06,1.2716857366894346e-05,4.188673316206923e-06,2.6462978246666506e-06,1.06957183593915e-05,8.821498788921968e-07,8.086051429621966e-07
6,1.3119761053675978e-06,5.480953634157725e-07,9.751857162761519e-07,1.8349563474484154e-06,1.4526262262105734e-06,3.7413304310938665e-06,1.5796228382090741e-06,1.446536686068136e-06,3.0465412907221786e-06,4.555488715236781e-06,1.3943560149022278e-05,4.676350346109623e-06,3.118589867614465e-06,1.230020692060719e-05,9.837741230920096e-07,9.428456244819844e-07
7,1.3887167117839615e-06,6.143544677184397e-07,1.1077058795911606e-06,1.959007010507893e-06,1.6341884963868344e-06,4.227814273315253e-06,1.8179967548068161e-06,1.5819749614044641e-06,3.336491030065449e-06,4.8217399584374386e-06,1.5189157267609832e-05,5.140102177953644e-06,3.5524965336187617e-06,1.3639616038268524e-05,1.0789437968803309e-06,1.072490850450403e-06
8,1.4558783610785196e-06,6.804145651192328e-07,1.2307381530142098e-06,2.0879868673552614e-06,1.8262110586769187e-06,4.674533292734163e-06,2.0312933217989953e-06,1.7125177978443773e-06,3.613537982158151e-06,5.025605475372173e-06,1.643648537157734e-05,5.575147902275247e-06,3.947051455158764e-06,1.4710342080278937e-05,1.1672970039875503e-06,1.1969104660684362e-06
9,1.5133266249257464e-06,7.457792162387757e-07,1.3432060461406217e-06,2.220362264448627e-06,2.0287242458294654e-06,5.080990220995823e-06,2.219666205964314e-06,1.8382199567866628e-06,3.877963777051485e-06,5.16925882378863e-06,1.7665335970044883e-05,5.977155029794881e-06,4.301732986104141e-06,1.551852170295518e-05,1.2485326611404014e-06,1.3154284292095482e-06
10,1.5610468053177814e-06,8.099046199883935e-07,1.444082582375354e-06,2.3543362749041807e-06,2.2415686933653407e-06,5.44821329390047e-06,2.3844078410037705e-06,1.959176396162695e-06,4.129770019475452e-06,5.256236214839134e-06,1.885219008310269e-05,6.342299026411256e-06,4.616656955309015e-06,1.6079656851241587e-05,1.3222863119491733e-06,1.4274351807412335e-06
11,1.5990113759793689e-06,8.72205635048915e-07,1.5326338163563622e-06,2.4879269990383834e-06,2.464356513754636e-06,5.778662092574962e-06,2.527737174410286e-06,2.0752503697728914e-06,4.368800063315461e-06,5.290403281102807e-06,1.9970143309332724e-05,6.666912726324601e-06,4.892770882962389e-06,1.641657391977632e-05,1.3881310378679762e-06,1.5324340647101256e-06
12,1.6273147561505248e-06,9.320946354198714e-07,1.6086608867430636e-06,2.619214243767069e-06,2.696369670577312e-06,6.075567367910983e-06,2.652267515785539e-06,2.185914859382444e-06,4.594675808052738e-06,5.275493718134714e-06,2.098979207816952e-05,6.946936354418852e-06,5.131612237717403e-06,1.655646746550495e-05,1.445628398445371e-06,1.6300294405216469e-06
13,1.646346354617644e-06,9.890536165875538e-07,1.6725605033115703e-06,2.746614815362624e-06,2.9364368150864607e-06,6.342106849063691e-06,2.7604564727343633e-06,2.290213211591905e-06,4.8066492217600295e-06,5.215546269239377e-06,2.1881699321364905e-05,7.1778374137564455e-06,5.334995454258451e-06,1.6528040816342773e-05,1.4943627798718299e-06,1.7199853365128312e-06
14,1.656833100640755e-06,1.0427185546357011e-06,1.7252113980301263e-06,2.8689194818370503e-06,3.182888660119712e-06,6.5810792849292945e-06,2.8543267706594734e-06,2.386793849290045e-06,5.0036734404022986e-06,5.11552675128631e-06,2.2620127113570107e-05,7.355495158132221e-06,5.50506883799927e-06,1.6359211237797233e-05,1.5339426317465757e-06,1.8023913947413804e-06
15,1.6598419385054975e-06,1.0929089242047456e-06,1.7677840178537999e-06,2.9850983688112132e-06,3.4336288736679165e-06,6.7950643039557955e-06,2.9355001534941977e-06,2.4739694031508536e-06,5.184636491298243e-06,4.9813524079006375e-06,2.3186465057384514e-05,7.477403255964803e-06,5.644673024099496e-06,1.6075567400473476e-05,1.5639639714084086e-06,1.8777932690782348e-06
16,1.6568272154216105e-06,1.1395476265010175e-06,1.8015212100123342e-06,3.094135685468771e-06,3.6861939330812557e-06,6.986456620222968e-06,3.0054252128907594e-06,2.5498196547030315e-06,5.348491214427327e-06,4.819410339457731e-06,2.3570123947776433e-05,7.542982921501873e-06,5.757619666687558e-06,1.569983220258567e-05,1.5840492252962546e-06,1.947114036890386e-06
17,1.6495922760828963e-06,1.1826008108301297e-06,1.8275467417070145e-06,3.195059254280242e-06,3.9377577072581365e-06,7.157091121214377e-06,3.0656285919196745e-06,2.61243291139234e-06,5.49424401918532e-06,4.6360797688392596e-06,2.3766006100518442e-05,7.552744339529457e-06,5.8486100313397075e-06,1.5252182654087716e-05,1.5940568163832567e-06,2.0113695711984977e-06
18,1.640071400760476e-06,1.2221639606267322e-06,1.8467702337478079e-06,3.2870739597322624e-06,4.185304447865414e-06,7.3078586292672555e-06,3.1178399212111e-06,2.6602189706879004e-06,5.620906536236543e-06,4.437461807608795e-06,2.3771154146000177e-05,7.5075004711437926e-06,5.922733566060683e-06,1.475071644189991e-05,1.594270255395784e-06,2.0713727685055885e-06
19,1.6300929030213868e-06,1.258559234778362e-06,1.8598751658515614e-06,3.369643853720598e-06,4.4260812808623225e-06,7.438798067010699e-06,3.1639360744887093e-06,2.692083229138774e-06,5.727471404244119e-06,4.229209942893556e-06,2.3584537760408455e-05,7.408777570735046e-06,5.984728115381707e-06,1.4211614888796115e-05,1.5853467688886444e-06,2.127592904253435e-06
20,1.6212982686675e-06,1.29228968071143e-06,1.8673862579803143e-06,3.442514038838641e-06,4.658054858944549e-06,7.5496116644171515e-06,3.2057511633344373e-06,2.7074659560741362e-06,5.81296329313717e-06,4.0164276396280565e-06,2.3210086195186022e-05,7.259895596469419e-06,6.03842740661676e-06,1.3649155080993719e-05,1.5681388883347134e-06,2.1801423822710542e-06
21,1.6151686996793302e-06,1.32389972949304e-06,1.8698625172694096e-06,3.505732527751266e-06,4.880046808683427e-06,7.640200072611164e-06,3.2448683520841765e-06,2.7064094084177332e-06,5.876607399942554e-06,3.803676092872092e-06,2.2659388596710377e-05,7.066460978058458e-06,6.086655502817564e-06,1.3075787572698099e-05,1.543621570483935e-06,2.2287691422878026e-06
