,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,2.6097198525726083e-07,3.2561712703844596e-07,1.8250158621390772e-07,1.1716120553015983e-07,7.911134000072098e-07,-2.921082629067851e-08,2.7693842669173706e-08,4.371621447063711e-07,7.96462180802388e-07,-1.0615489841693904e-06,9.530089138621107e-08,8.721597295977074e-07,9.263002788796732e-07,9.760739095088586e-06,8.575512710918035e-08,4.019275121689009e-08
1,3.999092031204619e-07,4.5554746471504926e-07,3.2937753554213815e-07,3.596300265140057e-07,1.038207739958539e-06,7.253732690379964e-08,1.102521713879327e-07,4.988920029936593e-07,1.0023133831519804e-06,5.881105353912737e-07,1.733730613880637e-07,9.449970493591575e-07,1.2549959739653183e-06,1.2275724665828707e-05,2.1922349971527556e-07,2.7112552229500943e-07
2,5.385540760378467e-07,5.83431746108576e-07,4.727522593036409e-07,5.962138060104299e-07,1.281736192287873e-06,1.7319674058705055e-07,1.904438055900386e-07,5.617421030127817e-07,1.2181795265164302e-06,2.159984281298948e-06,2.512743747430955e-07,1.0225533124714016e-06,1.5883026144862046e-06,1.4826101160809211e-05,3.489164943590626e-07,4.95227823083906e-07
3,6.756298938119105e-07,7.081404576553679e-07,6.112073269794227e-07,8.236361885759242e-07,1.5174838066670723e-06,2.70894893430504e-07,2.676527870851944e-07,6.243640173651413e-07,1.4422676127315313e-06,3.6192071443440496e-06,3.277757028133284e-07,1.104173515887247e-06,1.9220485217361416e-06,1.7390304702531254e-05,4.7317429617661295e-07,7.111439694361513e-07
4,8.101066356943811e-07,8.286033088336934e-07,7.433780376402872e-07,1.039144847228547e-06,1.742253042485379e-06,3.6451076945789263e-07,3.413322252748004e-07,6.85588458622523e-07,1.6734048786882933e-06,4.936865137675964e-06,4.018446965817868e-07,1.1892291622628836e-06,2.2524308115477375e-06,1.9947293496280983e-05,5.906215237236597e-07,9.175302973042119e-07
5,9.411127917456087e-07,9.438459073138795e-07,8.679450755092275e-07,1.2406178712491524e-06,1.953910298139956e-06,4.536048578496961e-07,4.1105683678324696e-07,7.443867440647433e-07,1.9110757639056947e-06,6.092560852401067e-06,4.725945327863692e-07,1.277028194535288e-06,2.576517691183485e-06,2.2477403492191565e-05,7.001819819471405e-07,1.1130990843872322e-06
6,1.0678773441229896e-06,1.0529794662507994e-06,9.83696001407177e-07,1.4265620292434907e-06,2.151155025994694e-06,5.381375717203648e-07,4.7654898386948533e-07,7.998539669869593e-07,2.1552138628001313e-06,7.074768656722987e-06,5.392156662458317e-07,1.3667502100931755e-06,2.8923832884247523e-06,2.496234689677181e-05,8.010580618988459e-07,1.2966572275762327e-06
7,1.1896936321129802e-06,1.1552093814625867e-06,1.0896178892995802e-06,1.596010937885592e-06,2.3331983463319786e-06,6.182625272034306e-07,5.376492886665232e-07,8.513570945784208e-07,2.405932510122939e-06,7.879439062400319e-06,6.010354343778132e-07,1.457444242445764e-06,3.198707717416874e-06,2.738405857226082e-05,8.926915063449371e-07,1.4671355107097062e-06
8,1.3058254157932635e-06,1.2498422171693602e-06,1.1849568800767202e-06,1.7483649049062014e-06,2.49949431929258e-06,6.942820994574423e-07,5.942570407476339e-07,8.986931865021452e-07,2.6633430284853103e-06,8.50827202760753e-06,6.576406307800924e-07,1.548053666392499e-06,3.4941840556784927e-06,2.97225890640466e-05,9.747313655561346e-07,1.6235799362552858e-06
9,1.415418365191046e-06,1.3362316916509769e-06,1.269240083730807e-06,1.883281471726863e-06,2.6495927922698267e-06,7.666083350607431e-07,6.46320327119632e-07,9.420285588774739e-07,2.9274341614472866e-06,8.967399065733091e-06,7.088841445733321e-07,1.637408972939152e-06,3.7771264464507327e-06,3.195442924150928e-05,1.0470629064450546e-06,1.7651166171977814e-06
