,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,1.0303634194856087e-07,2.7527937753820757e-07,-2.778025757684752e-08,5.236882840196478e-07,9.392384018257849e-07,-1.037218714833208e-07,1.16895142478641e-07,4.7287719169886937e-07,7.313993012748287e-07,7.315728443405138e-08,3.136512605110678e-07,-7.223896170252915e-08,2.872954747368113e-07,-6.764808593305151e-07,1.6466237778033364e-07,3.2051562772348433e-07
1,3.352527725036996e-07,3.7969188592270215e-07,8.421132144050344e-08,6.260088308296356e-07,1.1824890914385907e-06,3.8839817946211605e-07,2.980012279355647e-07,5.811360775559254e-07,9.072146284406958e-07,2.7367084481614725e-07,3.974004369393565e-07,1.399878905215466e-07,5.592613983672456e-07,2.3745682401118793e-07,2.500920514301316e-07,4.5481108070874924e-07
2,5.595204618912789e-07,4.82875572883721e-07,1.926829915342624e-07,7.336109374923886e-07,1.420067975691037e-06,8.630729250762484e-07,4.7202682309700405e-07,6.829357153384246e-07,1.0928884599188437e-06,4.751311389048355e-07,4.804145810530511e-07,3.4133699725471993e-07,8.227111783822429e-07,1.104485949844639e-06,3.3336797736453105e-07,5.840693062742277e-07
3,7.725061559025225e-07,5.836546687599267e-07,2.953028587897028e-07,8.45854291295876e-07,1.649076859839312e-06,1.3164628040563575e-06,6.373130015571842e-07,7.76547673355882e-07,1.2858366002670968e-06,6.736078314242941e-07,5.6191712243391e-07,5.306090304544612e-07,1.0724749508607232e-06,1.9092456675784134e-06,4.13560941963326e-07,7.078428180395422e-07
4,9.718852736483345e-07,6.809179054550546e-07,3.9067468834898875e-07,9.622209827969042e-07,1.8667158935320136e-06,1.7450862993473112e-06,7.923646677256722e-07,8.610781858281827e-07,1.4840436082350827e-06,8.658288807158355e-07,6.41231888757116e-07,7.066866662243795e-07,1.3043904350650787e-06,2.6418006211825617e-06,4.898059453415034e-07,8.255807807745085e-07
5,1.156391517466978e-06,7.736659859714602e-07,4.783633342427062e-07,1.0822554348442444e-06,2.070373291225559e-06,2.145758113624485e-06,9.358484208569891e-07,9.364029219980917e-07,1.6859937416497555e-06,1.0495370232154951e-06,7.17728033686107e-07,8.68579477435536e-07,1.5158790214019417e-06,3.2958855722783963e-06,5.613611201951797e-07,9.366120414753117e-07
6,1.3254833631626076e-06,8.610913584090732e-07,5.586588529412271e-07,1.2055371344573376e-06,2.2576819861888876e-06,2.5153848004680158e-06,1.0666493038413018e-06,1.0028272134971932e-06,1.8905639395117196e-06,1.2237135090799517e-06,7.908009894605506e-07,1.0154090856943863e-06,1.705987652161458e-06,3.8668728342627375e-06,6.276608206653827e-07,1.0401927946532641e-06
7,1.47895925261562e-06,9.426077155017732e-07,6.322673302634237e-07,1.331681511775032e-06,2.426406726348782e-06,2.8508075967825758e-06,1.1838881830298702e-06,1.0607312938536394e-06,2.0971014906967955e-06,1.3886071522079077e-06,8.598924451985756e-07,1.1463724719292664e-06,1.8748451852478272e-06,4.351291630849113e-06,6.883216028343099e-07,1.1356159850456168e-06
8,1.6168011458820638e-06,1.0178004438320106e-06,7.000443411257601e-07,1.4602710533265674e-06,2.5742588017901327e-06,3.148822142424372e-06,1.2867954165395312e-06,1.1103975351170157e-06,2.3055624836268285e-06,1.545505540364519e-06,9.244675269885441e-07,1.2608498926099887e-06,2.022957994752442e-06,4.7473150448401815e-06,7.431512604145907e-07,1.222313189953744e-06
9,1.7392271851718406e-06,1.0863565774457846e-06,7.628430769973134e-07,1.5907329197439952e-06,2.6988735396613912e-06,3.4064163602463953e-06,1.3746131745366276e-06,1.1520511858535034e-06,2.5164109989481742e-06,1.6962878181310115e-06,9.839449328506383e-07,1.3586642264327515e-06,2.150811114665647e-06,5.055117343402986e-06,7.921697698708607e-07,1.2999288650514886e-06
10,1.8468117257921648e-06,1.1480278295369955e-06,8.215157574409866e-07,1.7222746291688117e-06,2.7979779371394526e-06,3.621238235657781e-06,1.446723486097207e-06,1.1860284764336812e-06,2.730228530496794e-06,1.8429909021381034e-06,1.03768446586678e-06,1.4403209303948574e-06,2.2588883373284807e-06,5.276949768994087e-06,8.355911303856991e-07,1.368425226259942e-06
