,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,2.2634722306329369e-07,5.136583251806433e-07,4.5051757235049167e-07,2.6716451636942706e-07,5.438026196658175e-07,1.6731738729893777e-07,3.484453008265885e-08,6.917766955561973e-08,4.1840128388892564e-07,4.862523577164448e-06,1.3287870633210666e-07,-6.867413613457391e-07,1.789631684118991e-07,4.5731984101751937e-07,5.713807049423582e-07,1.3325439441571967e-06
1,3.4515246309161977e-07,6.136433461484668e-07,5.65765379333646e-07,3.336496078816825e-07,9.508740128105367e-07,4.3372050268579177e-07,2.282297050639067e-07,2.0983343073491535e-07,6.815949226415898e-07,6.076049669168764e-06,3.089193896365486e-06,3.6175884989219414e-07,2.901805515466662e-07,7.56640444927124e-07,8.767607912573017e-07,1.4478446013337916e-06
2,4.6365826588070464e-07,7.194014902933467e-07,6.824268902303733e-07,3.9946633721679466e-07,1.3580139758636538e-06,7.027874664381437e-07,4.19395209977008e-07,3.460701382652283e-07,9.450910051809029e-07,7.252109544393856e-06,5.87798932858706e-06,1.3576888472455142e-06,4.0491428451448513e-07,1.0548647777888715e-06,1.1769789869814176e-06,1.5692269821973462e-06
3,5.803551879140514e-07,8.299418605857852e-07,7.999006158423943e-07,4.6292171454423004e-07,1.7600248939520588e-06,9.727729496110007e-07,6.06221304467634e-07,4.774227562125589e-07,1.2058984811844286e-06,8.35748866816078e-06,8.466443712952194e-06,2.287230542225539e-06,5.211869251042246e-07,1.3492116425087543e-06,1.4661563409331032e-06,1.69614438232558e-06
4,6.941054171571762e-07,9.443013089760408e-07,9.17534917271284e-07,5.2310240420351e-07,2.152679478335704e-06,1.2422648735909553e-06,7.868216923796618e-07,6.034386706126401e-07,1.4621872239618649e-06,9.373858560088504e-06,1.0827626255175417e-05,3.1394200388651086e-06,6.371790476277792e-07,1.6369252260891864e-06,1.7390892315181675e-06,1.8277976002833066e-06
5,8.04053189421756e-07,1.0616126924981827e-06,1.0346775551711896e-06,5.79700845811676e-07,2.5328149753667508e-06,1.510093639094143e-06,9.597918435432468e-07,7.236268627085828e-07,1.7128075455478047e-06,1.0296305750696792e-05,1.2941104853784694e-05,3.9061992318244394e-06,7.513700727362108e-07,1.9152818281295226e-06,1.9917308989138575e-06,1.963087301580886e-06
6,9.095115303754175e-07,1.181103689418516e-06,1.1507671807910729e-06,6.327490169714022e-07,2.8982817693902477e-06,1.7751946120109844e-06,1.1243503610794155e-06,8.374156495843637e-07,1.956670151758844e-06,1.1127643698651482e-05,1.479095635840845e-05,4.5814591613925495e-06,8.628449170413029e-07,2.1816904858549988e-06,2.221516818563822e-06,2.10065311028775e-06
7,1.0099097704397523e-06,1.3019980154813833e-06,1.2653914156414602e-06,6.824657055889104e-07,3.2478200737666384e-06,2.0364909878763834e-06,1.2801553505719949e-06,9.441255805760165e-07,2.192451834411865e-06,1.1873147907983151e-05,1.6363849645855712e-05,5.160264645878776e-06,9.714168260528385e-07,2.4338669561781718e-06,2.4273800771008904e-06,2.2389907497206534e-06
8,1.1047353808066396e-06,1.4233790025759028e-06,1.3782528877784056e-06,7.291719465886123e-07,3.580724991543508e-06,2.2928285986780067e-06,1.4270014134562249e-06,1.0429680817221417e-06,2.4185633190344146e-06,1.253804501534322e-05,1.765039021001901e-05,5.639319066486783e-06,1.0773828002363164e-06,2.6701225618269e-06,2.60945917881949e-06,2.376629490284518e-06
9,1.1934499748746563e-06,1.5440920708839784e-06,1.4890902588091675e-06,7.732126665617736e-07,3.896393203233627e-06,2.543037979338108e-06,1.5646743786771872e-06,1.1331256772419652e-06,2.6332001394193955e-06,1.3127085856284249e-05,1.8648737953692414e-05,6.018056897443639e-06,1.1812020251661028e-06,2.889616320536481e-06,2.768638607979104e-06,2.5122307637978302e-06
