,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,4.165700162694462e-07,2.72031851593783e-07,-5.8030471822116e-08,7.983681058413236e-07,2.8429736627432226e-07,6.133549258775378e-07,6.495963034629279e-07,8.984858637723938e-07,1.745919072295154e-07,7.664537275174055e-07,-2.540000224087235e-07,8.846680697029423e-08,1.6891723654378354e-07,-1.2707099322315045e-06,4.954085271388813e-07,2.1843605961787225e-07
1,5.091316179015877e-07,3.6161490505906337e-07,7.368418016251659e-08,9.630387483333857e-07,4.1533530233219654e-07,7.408926783276544e-07,7.167510056153167e-07,1.0189611873428887e-06,4.4099885789378226e-07,9.882945607999685e-07,-1.7662104722518523e-07,1.5117925001196224e-07,3.1325787870977906e-07,-8.123178464255919e-07,6.006256463843487e-07,3.0036420687651873e-07
2,6.04127999382376e-07,4.504145795169538e-07,2.0277542487310437e-07,1.1211662077368794e-06,5.507973485558615e-07,8.688481149351189e-07,7.886410905888815e-07,1.1381782905256773e-06,7.032155181292376e-07,1.2314454513248337e-06,-1.0201372476725872e-07,2.1480813878291874e-07,4.605336671316261e-07,-3.458623104422467e-07,7.087419795142637e-07,3.802989704110174e-07
3,7.004938708784447e-07,5.358735407742335e-07,3.276935932082242e-07,1.2710694436486521e-06,6.893118992412171e-07,9.95600853300084e-07,8.647830325607064e-07,1.2559282937536136e-06,9.589936714483109e-07,1.4959909794777106e-06,-3.1713209879681843e-08,2.7824517509127035e-07,6.088342712653059e-07,1.3199045169972407e-07,8.178127150460163e-07,4.5668338189316974e-07
4,7.97156265612457e-07,6.160842188377426e-07,4.4761669715644165e-07,1.4110440455337793e-06,8.296382832082869e-07,1.1199932800628889e-06,9.446052534793705e-07,1.3719447428999005e-06,1.2062028112950975e-06,1.7819134630704129e-06,3.2974226775529894e-08,3.406469352029102e-07,7.569114634622981e-07,6.252469909016194e-07,9.259674420645131e-07,5.284572601168033e-07
5,8.931998496550668e-07,6.897714579324676e-07,5.62349591801008e-07,1.539539323679483e-06,9.708544621066735e-07,1.2411576865946352e-06,1.027552922696249e-06,1.4858194572436914e-06,1.4428255901044936e-06,2.08905094859023e-06,9.1078012672773e-08,4.014330129813713e-07,9.040844379180183e-07,1.1384705797529118e-06,1.031545183718258e-06,5.949323673225117e-07
6,9.880286270830517e-07,7.561636721985707e-07,6.71994412293354e-07,1.6552769434880226e-06,1.112457773517162e-06,1.3583854973087183e-06,1.1131428571253949e-06,1.5968933487296604e-06,1.6668521929818832e-06,2.416962368544932e-06,1.420834330123444e-07,4.6024686814919567e-07,1.0500061041192036e-06,1.6765241313733403e-06,1.1332788700055201e-06,6.555981349000988e-07
7,1.0813648872139575e-06,8.149625299786691e-07,7.766718557265568e-07,1.7572414544411228e-06,1.2542853397973692e-06,1.4711977341283823e-06,1.2008923033410118e-06,1.7042217737628146e-06,1.8762187472676282e-06,2.764854857138301e-06,1.8607149097755096e-07,5.169081135220634e-07,1.1944638056407189e-06,2.244331233302691e-06,1.2303955751263752e-06,7.100363769302315e-07
8,1.173062038850576e-06,8.663606833894925e-07,8.764368317916069e-07,1.844684058123453e-06,1.3963668936585037e-06,1.5794317163395458e-06,1.2901995659709405e-06,1.806687406466127e-06,2.068935251971251e-06,3.131653548546922e-06,2.2379685399995723e-07,5.713883154822969e-07,1.3372425697075813e-06,2.846815257301914e-06,1.322538779919247e-06,7.57960718542493e-07
9,1.2628847412597272e-06,9.109245683967028e-07,9.713498788106273e-07,1.9172351608096048e-06,1.5388447275211215e-06,1.6831649915805926e-06,1.3802740677772412e-06,1.9032209939885066e-06,2.243285173811309e-06,3.5160336144568706e-06,2.5660194149751217e-07,6.238217823758968e-07,1.478074609027747e-06,3.489061671267692e-06,1.4095274580024976e-06,7.992507053442697e-07
10,1.3504238267522326e-06,9.493450383421952e-07,1.0615858020823575e-06,1.9749668397602674e-06,1.6819196255528316e-06,1.7825615759769552e-06,1.4701254098384953e-06,1.9929771199834395e-06,2.3979421464485477e-06,3.9162748528832046e-06,2.8622136801580856e-07,6.74458792201381e-07,1.6166611150475507e-06,4.176820697044881e-06,1.4910968600995461e-06,8.339038351786152e-07
11,1.4351564996259e-06,9.82222108247505e-07,1.147448792476388e-06,2.0182389693100215e-06,1.8257876677931051e-06,1.8777731307106447e-06,1.5586078588690752e-06,2.075383355926564e-06,2.5320915873008927e-06,4.330066921571354e-06,3.146127863676313e-07,7.235433667254991e-07,1.7526981728212462e-06,4.9171047188681955e-06,1.5668328660366225e-06,8.619681207328316e-07
12,1.5165232225965236e-06,1.0099748298635153e-06,1.2292802411783665e-06,2.047512879498732e-06,1.9706283174185435e-06,1.9688671629006883e-06,1.6444913100990788e-06,2.1501074620153852e-06,2.6456462849713857e-06,4.75442149937893e-06,3.4385227889163903e-07,7.71245960603595e-07,1.8858845355674398e-06,5.7180903749109e-06,1.6363403366844048e-06,8.835528910453902e-07
13,1.5939712074947057e-06,1.032860300172732e-06,1.3073915577622747e-06,2.0634054436897664e-06,2.116577097953154e-06,2.0557139957344294e-06,1.7264661659688643e-06,2.216944037212072e-06,2.7393759839998625e-06,5.185649818792384e-06,3.760639041980365e-07,8.177295566521221e-07,2.0158872686872224e-06,6.588141591292456e-06,1.6994484408929152e-06,8.989483450072913e-07
14,1.6670335472453943e-06,1.0510940053479706e-06,1.3821006477160293e-06,2.0668593108021576e-06,2.2635879306738057e-06,2.1378856952215916e-06,1.8030985064048282e-06,2.2756354924219027e-06,2.8147298689122014e-06,5.619274854249148e-06,4.133822655139599e-07,8.633016461846452e-07,2.1423020434375553e-06,7.53476607862435e-06,1.756244610966563e-06,9.087526809752221e-07
15,1.735380669839206e-06,1.0650359276918126e-06,1.4537862662698343e-06,2.0591408655051965e-06,2.411315148330123e-06,2.214705112720543e-06,1.8729070502508599e-06,2.3258073269696176e-06,2.8734096756917396e-06,6.049869434163732e-06,4.5795421734749124e-07,9.085288381716515e-07,2.2646617163276037e-06,8.564158966466631e-06,1.8069331887464733e-06,9.138483836446116e-07
16,1.7987109706237858e-06,1.0753145934235798e-06,1.5228639109206175e-06,2.0416898441280437e-06,2.559129481212854e-06,2.285493679058506e-06,1.934624795218518e-06,2.367145123826708e-06,2.916964804713711e-06,6.470956227066308e-06,5.119695940015458e-07,9.542076109101898e-07,2.3824556907701825e-06,9.681218558891179e-06,1.8516919511968531e-06,9.152337152398477e-07
17,1.8566024150988332e-06,1.082785118446194e-06,1.5897158280480787e-06,2.0160376904311868e-06,2.706168148538282e-06,2.349871648109536e-06,1.987460893954963e-06,2.399674219165459e-06,2.9466010288491435e-06,6.875060950599973e-06,5.777113925647376e-07,1.0012301587667433e-06,2.4952060917335776e-06,1.0889653944622323e-05,1.89064511903317e-06,9.138624413363317e-07
