,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,5.577038229261683e-07,7.813768157512586e-07,3.645145999562979e-07,4.99728344165755e-07,6.936321037128257e-07,-2.0982253482884587e-07,5.695883618883901e-07,-7.248992591222665e-08,5.646870514409647e-07,-5.37637598544996e-07,-1.8912316213422034e-07,1.0981143513251584e-06,4.044884415750459e-07,1.475486747744426e-06,2.3716696119730276e-07,1.1934861642513598e-07
1,6.659829769290213e-07,8.532791118561888e-07,4.987138913323612e-07,5.681125475274631e-07,8.786562604853356e-07,1.8844817720543125e-07,6.960532670314085e-07,3.888325405646364e-08,6.724951275834766e-07,-2.630997152689372e-07,-2.5943819681327385e-08,1.372124010184673e-06,1.3360727690403743e-06,2.3782001037088887e-06,3.242338700753338e-07,2.2569620065915452e-07
2,7.737803894553034e-07,9.298828885965628e-07,6.273240645395377e-07,6.348168064763626e-07,1.0682026404124678e-06,5.771906470871579e-07,8.237925960561001e-07,1.4726613617445417e-07,7.803041981978783e-07,-1.3479753085035477e-08,1.2958821532636542e-07,1.6393351243201052e-06,2.210626789059317e-06,3.2631605256932946e-06,4.0990760663557265e-07,3.3187978982242585e-07
3,8.791694174499156e-07,1.0100399802270288e-06,7.490503493518265e-07,6.992268079590656e-07,1.259982810506298e-06,9.507326113971957e-07,9.515876339358315e-07,2.5195232008170615e-07,8.853117848410434e-07,2.0480010096317384e-07,2.7637144517345454e-07,1.8973581115259374e-06,3.01762413053435e-06,4.125485688867042e-06,4.921042616184766e-07,4.356335859170883e-07
4,9.803179276933357e-07,1.0927529685793146e-06,8.628617302498882e-07,7.612090703955265e-07,1.4523757268148178e-06,1.3047400830283186e-06,1.0780696599580415e-06,3.5243994387448084e-07,9.854488076870047e-07,3.8673043034424027e-07,4.134830995940875e-07,2.1436931633632172e-06,3.7483766291588994e-06,4.9597012749073395e-06,5.693758038969562e-07,5.350233117366833e-07
5,1.075504594913053e-06,1.1773223094434722e-06,9.679016524516015e-07,8.208936235645855e-07,1.6442025803908391e-06,1.636208363989629e-06,1.2017139133214653e-06,4.4843163535678605e-07,1.0791646732378657e-06,5.291284811771121e-07,5.401348439318249e-07,2.3758854499594046e-06,4.396373289832144e-06,5.759593055389635e-06,6.410536431286322e-07,6.285320806954765e-07
6,1.163247030797185e-06,1.2633786176960676e-06,1.063380281967843e-06,8.783969134419087e-07,1.834473891718806e-06,1.9432064281312837e-06,1.3209165024509191e-06,5.397520883268829e-07,1.1652503039335691e-06,6.306969264423473e-07,6.555693829799221e-07,2.5916864725815455e-06,4.956931835186369e-06,6.518293334266387e-06,7.070619377272376e-07,7.15067099810334e-07
7,1.2424930337824816e-06,1.350680840158845e-06,1.1485800571329948e-06,9.336818867650955e-07,2.0223973927585957e-06,2.224786040193244e-06,1.4342265911289332e-06,6.262391468142683e-07,1.2429909734979982e-06,6.918615234379652e-07,7.590056698890804e-07,2.7891396165263177e-06,5.42669048461351e-06,7.229006284184616e-06,7.675710785714906e-07,7.939747969056487e-07
8,1.3126575190912035e-06,1.438863190205195e-06,1.222966811463429e-06,9.865339316361236e-07,2.20747870930534e-06,2.481106223990817e-06,1.5406692279885217e-06,7.076710691228939e-07,1.3123786336153733e-06,7.146488340876753e-07,8.496751784961792e-07,2.966615906865224e-06,5.803849325028989e-06,7.886436236064247e-06,8.227522019450397e-07,8.65093030356503e-07
9,1.3734235948680481e-06,1.5273001098998228e-06,1.2863123309075265e-06,1.036593473514629e-06,2.38946813539511e-06,2.7134948881405613e-06,1.639898091479513e-06,7.8377724782878e-07,1.3740298883081507e-06,7.026614223901753e-07,9.269419883057483e-07,3.122854019726174e-06,6.089202951165701e-06,8.488083891910014e-06,8.727061858949379e-07,9.287369539299155e-07
