,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,EMG9,EMG10,EMG11,EMG12,EMG13,EMG14,EMG15,EMG16
0,-1.790465031557984e-08,4.4764043705888933e-07,1.6294026613747778e-07,8.030180584725776e-07,-1.813324670550333e-07,6.027347887041773e-07,-3.5544371540902495e-07,5.198362840108377e-07,1.5959032320687714e-06,2.032661895288258e-06,1.0585923343854728e-07,-2.2439514116897093e-08,1.4332626850250465e-06,4.444117203437957e-06,2.734530523259168e-07,1.088732721962962e-07
1,1.6943444669463767e-07,7.087708986571447e-07,3.0848839307723397e-07,9.369147576329331e-07,5.589057714219948e-07,1.0514539204331116e-06,3.7854586744936695e-08,7.054484218979821e-07,1.8882299035125188e-06,2.4673895381681757e-06,1.5202566394194766e-07,2.54356454856311e-07,1.6237071279715857e-06,5.814647831690938e-06,3.2229583303735616e-07,1.8964767532745713e-07
2,3.540177767894783e-07,9.614516867484573e-07,4.4519987128912093e-07,1.0722242342147912e-06,1.2587659575710508e-06,1.4773759659564592e-06,4.174556861703094e-07,8.8478822274835e-07,2.180059204520511e-06,2.9423646570862927e-06,1.9860162292819882e-07,5.251337705187263e-07,1.8241905673985612e-06,7.229122701118045e-06,3.6995373701790305e-07,2.72583758965362e-07
3,5.321253449416113e-07,1.2032140739577377e-06,5.727658856294395e-07,1.2050968223592894e-06,1.910432391587824e-06,1.8754233428746797e-06,7.792307108574247e-07,1.056713866813543e-06,2.4673880915869294e-06,3.459116667705371e-06,2.447370809197627e-07,7.854786893576296e-07,2.0321296476893447e-06,8.670951810424578e-06,4.1510430329993775e-07,3.5684281498388065e-07
4,7.008778329526173e-07,1.4317582625028712e-06,6.910802634182653e-07,1.3324231682108406e-06,2.50613216262676e-06,2.240703307170763e-06,1.1192593462417673e-06,1.220044252653604e-06,2.746548834527336e-06,4.018676852523545e-06,2.8968982584186006e-07,1.0320090267586022e-06,2.24526020837158e-06,1.0127107509813585e-05,4.5671655891375483e-07,4.416270848298725e-07
5,8.583342645411795e-07,1.6449616209700793e-06,8.00160764116272e-07,1.4519777702719984e-06,3.0384804988704386e-06,2.5685402171224947e-06,1.4339944061417363e-06,1.373563488281738e-06,3.0143552127108784e-06,4.621408071928415e-06,3.328317111678481e-07,1.2624597776502302e-06,2.4618926239938925e-06,1.1587782570474622e-05,4.941591893827367e-07,5.262707647335471e-07
6,1.0034739912493555e-06,1.840969636182923e-06,9.000665228672751e-07,1.5623837679066954e-06,3.5011869781302737e-06,2.8547155013199245e-06,1.7204452568668117e-06,1.5160723039389991e-06,3.2682235459529295e-06,5.266982957142823e-06,3.736793456075689e-07,1.4755825666661452e-06,2.6808726310011972e-06,1.304554429691712e-05,5.272321746844118e-07,6.10320711524051e-07
7,1.1361490344441246e-06,2.018330281346254e-06,9.908231207216307e-07,1.6630924309665828e-06,3.88991326571916e-06,3.0960865633662807e-06,1.976331378982626e-06,1.6464601532761092e-06,3.506109944442508e-06,5.954619867392621e-06,4.1191915785219536e-07,1.6709397909583512e-06,2.9013607719024797e-06,1.4494861402749874e-05,5.560397630175365e-07,6.935111551004146e-07
8,1.2569570652590597e-06,2.17603998038345e-06,1.072410006194736e-06,1.7543525157617366e-06,4.203024894446012e-06,3.2912411716799924e-06,2.200254343230389e-06,1.763816889508894e-06,3.726179035147934e-06,6.683451417093851e-06,4.4737373326195177e-07,1.848627690039721e-06,3.122608813652067e-06,1.593172064430236e-05,5.807984314718679e-07,7.756609644106077e-07
9,1.3670042144589638e-06,2.313507098569353e-06,1.1449247586740852e-06,1.836979270636e-06,4.441986519532717e-06,3.4407649926526717e-06,2.3918498677965793e-06,1.8676003244040229e-06,3.926380659679011e-06,7.452700574851331e-06,4.799479974075374e-07,2.009026962465871e-06,3.3437837250870002e-06,1.7352594704141925e-05,6.017352299152531e-07,8.565993285215882e-07
10,1.4676387516616543e-06,2.4305831799922353e-06,1.2088864563427777e-06,1.91193704288702e-06,4.611261090276521e-06,3.547049883406292e-06,2.5518092623133283e-06,1.957752377688288e-06,4.104313909173491e-06,8.261401487770548e-06,5.095995035793956e-07,2.1527103815393275e-06,3.5637749627141967e-06,1.8753144824392463e-05,6.190749444321858e-07,9.361565315891929e-07
11,1.5602291897674578e-06,2.527704703030598e-06,1.2654138765130698e-06,1.980040566717432e-06,4.71769136301372e-06,3.6137252380930716e-06,2.6817684298401987e-06,2.0346178932527474e-06,4.257666824152604e-06,9.107849413548495e-06,5.363554641649878e-07,2.2805244652101257e-06,3.780962792079466e-06,2.012813759482477e-05,6.330702294651831e-07,1.0142076317253156e-06
12,1.6460061244086612e-06,2.6059609306735137e-06,1.3160805788785953e-06,2.0420415140514845e-06,4.769445873952081e-06,3.6449036466201314e-06,2.7841327193089586e-06,2.0986865812028566e-06,4.385034495100849e-06,9.989370483622192e-06,5.60361999332704e-07,2.3936739731599414e-06,3.993057800588146e-06,2.1473001609750232e-05,6.440661686012814e-07,1.090722422651504e-06
13,1.7260246388212684e-06,2.6668940382581176e-06,1.3625713337418704e-06,2.0989796632001663e-06,4.77487219047202e-06,3.6447018831393727e-06,2.861832388320536e-06,2.150372510581841e-06,4.48649203987305e-06,1.0902649120748748e-05,5.818774115144071e-07,2.4936606981350385e-06,4.197131707720933e-06,2.2785693276167793e-05,6.525323927834931e-07,1.1657629037296303e-06
14,1.8012588383646108e-06,2.7121445895022403e-06,1.4064129192797984e-06,2.1523875636103133e-06,4.741767534130369e-06,3.6173352743018016e-06,2.9180201110264567e-06,2.1899773008487986e-06,4.563476379482186e-06,1.1844022489395842e-05,6.012169702949155e-07,2.582176780965174e-06,4.389906418714135e-06,2.4067521361247477e-05,6.5900568964244e-07,1.2394617958243902e-06
15,1.8726644840328448e-06,2.743269998766126e-06,1.4488795894776825e-06,2.204110721401328e-06,4.677224350781162e-06,3.567437577550747e-06,2.9558603239670195e-06,2.2177282683595676e-06,4.6182052702624396e-06,1.2809040238032874e-05,6.187343138531853e-07,2.661084027916402e-06,4.568274343180067e-06,2.5322477562041144e-05,6.640018807403287e-07,1.3120070320728825e-06
16,1.9410803083498137e-06,2.761780412488096e-06,1.4909840292071285e-06,2.2559095062504056e-06,4.587764009201278e-06,3.5001165819504515e-06,2.9785155403560537e-06,2.2337960776459323e-06,4.65323473826305e-06,1.3791424257090695e-05,6.348103659877485e-07,2.7323788299502753e-06,4.729840371541286e-06,2.655516870839292e-05,6.679674405329897e-07,1.3835740903633805e-06
17,2.007070755685149e-06,2.7690977832400834e-06,1.5334725383279484e-06,2.3091428839974095e-06,4.4794989046366015e-06,3.4206902750924144e-06,2.9892105169039656e-06,2.238406100911253e-06,4.671316603047177e-06,1.4782134910988209e-05,6.49822409841825e-07,2.798000766722488e-06,4.873223298417113e-06,2.7768408292039896e-05,6.712814152100309e-07,1.4542282836146162e-06
18,2.0708468053651695e-06,2.766345940911628e-06,1.5768248469256188e-06,2.364642158175511e-06,4.3582384667812986e-06,3.3343067091277644e-06,2.99118994731985e-06,2.2320155911259677e-06,4.67523513159188e-06,1.5768920741331227e-05,6.641296873218038e-07,2.8595602437715344e-06,4.9980748154566036e-06,2.8962461005793088e-05,6.743045627545705e-07,1.523931266098256e-06
19,2.132249326754641e-06,2.7542557152900817e-06,1.621270638642815e-06,2.4227150030932965e-06,4.229487505711276e-06,3.245626354435786e-06,2.987529455235807e-06,2.2152943411678323e-06,4.6676148862846065e-06,1.673636568249048e-05,6.78075021199996e-07,2.918172925239873e-06,5.104977227419989e-06,3.0136401489595568e-05,6.774282405434811e-07,1.5926860116686633e-06
20,2.1907582916482257e-06,2.733403750548312e-06,1.666844847531385e-06,2.4832016732366244e-06,4.098318700772064e-06,3.158673693978062e-06,2.9808891062950315e-06,2.1889282859937386e-06,4.650967735293909e-06,1.7666587495541016e-05,6.920094953764421e-07,2.9744656686084323e-06,5.195208653099221e-06,3.128941885046508e-05,6.810636412985199e-07,1.6606405165311388e-06
21,2.2455958053723752e-06,2.7046196398417548e-06,1.7135077480531188e-06,2.5455192156338648e-06,3.9691702301723854e-06,3.0768873375913097e-06,2.9733386582708013e-06,2.153618093589518e-06,4.6277779027202495e-06,1.8540686095376874e-05,7.063237797290051e-07,3.028654752596437e-06,5.270324613012981e-06,3.2420349282505315e-05,6.856073291412066e-07,1.7280295348011125e-06
22,2.2959775120027985e-06,2.669239492199743e-06,1.761255460807946e-06,2.6087078265856148e-06,3.8456862519774045e-06,3.0032696467848234e-06,2.9663744043294145e-06,2.1103738197782824e-06,4.600328590004904e-06,1.9340572725443152e-05,7.214197662770231e-07,3.0805828486777744e-06,5.332029460885999e-06,3.3526239793075327e-05,6.914235207587132e-07,1.7950559574231895e-06
